latency_timer_ms,trial,roundtrip_ms,polls
2,0,2.0156,1
2,1,1.9703,1
2,2,1.9587,1
2,3,1.9860,1
2,4,2.0018,1
2,5,1.9838,1
2,6,2.0157,1
2,7,2.0031,1
2,8,1.9277,1
2,9,1.9536,1
2,10,2.0358,1
2,11,1.8820,1
2,12,1.9661,1
2,13,1.9552,1
2,14,1.9291,1
2,15,2.0605,1
2,16,1.9811,1
2,17,1.9408,1
2,18,1.9419,1
2,19,1.9440,1
2,20,1.9788,1
2,21,2.0251,1
2,22,2.0428,1
2,23,1.9904,1
2,24,1.9595,1
2,25,2.0090,1
2,26,1.9943,1
2,27,2.0314,1
2,28,1.9745,1
2,29,1.9794,1
2,30,1.9750,1
2,31,2.0022,1
2,32,1.9813,1
2,33,2.0087,1
2,34,1.9844,1
2,35,2.0264,1
2,36,2.0107,1
2,37,1.9981,1
2,38,2.0250,1
2,39,1.9835,1
2,40,1.9847,1
2,41,2.0280,1
2,42,1.9868,1
2,43,1.9890,1
2,44,2.0121,1
2,45,2.0027,1
2,46,2.0060,1
2,47,2.0003,1
2,48,1.9958,1
2,49,2.0029,1
2,50,2.0023,1
2,51,2.0124,1
2,52,2.0004,1
2,53,1.9960,1
2,54,1.9880,1
2,55,1.9761,1
2,56,2.0153,1
2,57,1.9525,1
2,58,2.0162,1
2,59,2.0003,1
2,60,2.0031,1
2,61,2.0071,1
2,62,1.9923,1
2,63,1.9635,1
2,64,2.0046,1
2,65,1.9990,1
2,66,2.0422,1
2,67,2.0084,1
2,68,1.9458,1
2,69,2.0084,1
2,70,2.0460,1
2,71,2.0561,1
2,72,1.9856,1
2,73,1.9606,1
2,74,2.0037,1
2,75,2.0014,1
2,76,2.0066,1
2,77,2.0026,1
2,78,2.0039,1
2,79,2.0074,1
2,80,1.9979,1
2,81,1.9848,1
2,82,1.9942,1
2,83,2.0068,1
2,84,2.0926,1
2,85,1.9646,1
2,86,2.0099,1
2,87,2.0152,1
2,88,2.0286,1
2,89,1.9662,1
2,90,1.9778,1
2,91,1.9720,1
2,92,1.9785,1
2,93,1.9895,1
2,94,2.0652,1
2,95,1.9998,1
2,96,2.0052,1
2,97,2.0273,1
2,98,2.0573,1
2,99,1.9735,1
2,100,1.9311,1
2,101,2.0451,1
2,102,2.0174,1
2,103,1.9716,1
2,104,2.0258,1
2,105,1.9999,1
2,106,1.9941,1
2,107,1.9961,1
2,108,2.0881,1
2,109,2.0040,1
2,110,1.9933,1
2,111,1.9904,1
2,112,1.9193,1
2,113,1.9734,1
2,114,2.0708,1
2,115,1.9682,1
2,116,2.0082,1
2,117,1.9917,1
2,118,2.0142,1
2,119,2.0253,1
2,120,2.0392,1
2,121,1.9699,1
2,122,1.9369,1
2,123,1.9875,1
2,124,1.9602,1
2,125,1.9857,1
2,126,1.9861,1
2,127,1.9795,1
2,128,2.0280,1
2,129,1.9783,1
2,130,1.9826,1
2,131,2.0289,1
2,132,1.9867,1
2,133,1.9788,1
2,134,1.9988,1
2,135,1.9984,1
2,136,1.9989,1
2,137,2.0036,1
2,138,2.0075,1
2,139,1.9615,1
2,140,2.0082,1
2,141,2.0057,1
2,142,1.9588,1
2,143,2.0040,1
2,144,1.9514,1
2,145,1.9287,1
2,146,1.9643,1
2,147,2.0079,1
2,148,2.0096,1
2,149,1.9975,1
2,150,2.0190,1
2,151,1.9876,1
2,152,1.9372,1
2,153,1.8451,1
2,154,2.0253,1
2,155,2.0479,1
2,156,2.0161,1
2,157,2.0435,1
2,158,2.0138,1
2,159,1.9630,1
2,160,2.0592,1
2,161,2.0049,1
2,162,1.9853,1
2,163,1.9841,1
2,164,2.0074,1
2,165,1.9895,1
2,166,1.9987,1
2,167,2.0044,1
2,168,2.0115,1
2,169,2.0026,1
2,170,2.0053,1
2,171,2.0024,1
2,172,2.0031,1
2,173,1.9809,1
2,174,2.0180,1
2,175,1.9808,1
2,176,1.9725,1
2,177,1.9822,1
2,178,1.9799,1
2,179,1.9818,1
2,180,2.0341,1
2,181,1.9810,1
2,182,1.9995,1
2,183,2.0175,1
2,184,1.9981,1
2,185,2.0194,1
2,186,1.9839,1
2,187,1.9602,1
2,188,2.0612,1
2,189,2.0342,1
2,190,1.9031,1
2,191,1.8852,1
2,192,2.0135,1
2,193,2.0113,1
2,194,2.0072,1
2,195,2.0002,1
2,196,1.9553,1
2,197,1.9219,1
2,198,1.9829,1
2,199,1.9612,1
2,200,2.0405,1
2,201,2.0211,1
2,202,1.9790,1
2,203,1.9869,1
2,204,2.0387,1
2,205,1.9669,1
2,206,1.9752,1
2,207,1.9601,1
2,208,1.9530,1
2,209,2.0084,1
2,210,1.9796,1
2,211,1.9260,1
2,212,2.0213,1
2,213,1.9342,1
2,214,2.0240,1
2,215,2.0346,1
2,216,1.9939,1
2,217,1.9901,1
2,218,1.8345,1
2,219,2.0152,1
2,220,1.9532,1
2,221,1.9876,1
2,222,1.9598,1
2,223,1.9715,1
2,224,1.9297,1
2,225,2.0109,1
2,226,2.1165,1
2,227,1.9886,1
2,228,2.0119,1
2,229,1.9370,1
2,230,1.9975,1
2,231,2.0129,1
2,232,2.0392,1
2,233,1.9600,1
2,234,2.0058,1
2,235,2.0106,1
2,236,1.9918,1
2,237,2.0154,1
2,238,1.9623,1
2,239,2.0109,1
2,240,1.9594,1
2,241,2.0306,1
2,242,2.0228,1
2,243,2.0289,1
2,244,1.9420,1
2,245,1.9733,1
2,246,1.9837,1
2,247,1.9934,1
2,248,2.0046,1
2,249,1.9665,1
2,250,1.9546,1
2,251,1.9715,1
2,252,2.0013,1
2,253,1.9732,1
2,254,2.0636,1
2,255,1.9879,1
2,256,1.9573,1
2,257,2.0226,1
2,258,1.9676,1
2,259,1.9699,1
2,260,2.0128,1
2,261,1.9878,1
2,262,2.0402,1
2,263,1.9258,1
2,264,2.0045,1
2,265,1.9973,1
2,266,1.9895,1
2,267,1.9809,1
2,268,2.0031,1
2,269,1.9818,1
2,270,1.9719,1
2,271,1.9853,1
2,272,1.9787,1
2,273,1.9998,1
2,274,1.9642,1
2,275,1.9706,1
2,276,1.9530,1
2,277,2.0138,1
2,278,1.9901,1
2,279,2.0253,1
2,280,2.0090,1
2,281,2.0477,1
2,282,1.9255,1
2,283,1.9895,1
2,284,1.9800,1
2,285,2.0220,1
2,286,1.9873,1
2,287,1.9445,1
2,288,2.0404,1
