condition,policy,priority,seed,trial,target_width_ms,target_isi_ms,host_width_ms,host_onset_s
idle,SCHED_OTHER,0,20260808,76,34.7463,71.2197,34.7491,6.673769
idle,SCHED_OTHER,0,20260808,77,17.3642,27.7696,17.3828,6.779740
idle,SCHED_OTHER,0,20260808,78,31.4820,97.3023,31.5025,6.825237
idle,SCHED_OTHER,0,20260808,79,26.9781,88.8287,26.9820,6.954044
idle,SCHED_OTHER,0,20260808,80,31.2134,69.8056,31.2319,7.070202
idle,SCHED_OTHER,0,20260808,81,39.0071,79.1670,39.0269,7.171579
idle,SCHED_OTHER,0,20260808,82,18.6734,64.9768,18.6946,7.289774
idle,SCHED_OTHER,0,20260808,83,14.3325,31.1287,14.3349,7.373606
idle,SCHED_OTHER,0,20260808,84,17.1471,34.1504,17.1511,7.419071
idle,SCHED_OTHER,0,20260808,85,24.9913,40.8408,24.9940,7.470374
idle,SCHED_OTHER,0,20260808,86,24.3493,23.6970,24.3697,7.536486
idle,SCHED_OTHER,0,20260808,87,27.5070,55.4006,27.5258,7.584984
idle,SCHED_OTHER,0,20260808,88,46.2917,92.9098,46.3108,7.668635
idle,SCHED_OTHER,0,20260808,89,20.1499,30.9098,20.1526,7.808113
idle,SCHED_OTHER,0,20260808,90,42.4137,79.9814,42.4334,7.859383
idle,SCHED_OTHER,0,20260808,91,34.0063,58.8520,34.0115,7.981923
idle,SCHED_OTHER,0,20260808,92,36.1894,69.1756,36.1929,8.075068
idle,SCHED_OTHER,0,20260808,93,39.0799,56.3900,39.0990,8.180439
idle,SCHED_OTHER,0,20260808,94,44.5899,42.1341,44.5937,8.276680
idle,SCHED_OTHER,0,20260808,95,6.9783,38.1545,6.9972,8.363411
idle,SCHED_OTHER,0,20260808,96,11.9671,93.0038,11.9697,8.408564
idle,SCHED_OTHER,0,20260808,97,21.5287,32.9506,21.5316,8.513695
idle,SCHED_OTHER,0,20260808,98,40.4189,34.2474,40.4212,8.568345
idle,SCHED_OTHER,0,20260808,99,8.5092,19.0412,8.5116,8.643015
idle,SCHED_OTHER,0,20260808,100,37.2674,67.4063,37.2861,8.670649
idle,SCHED_OTHER,0,20260808,101,35.6317,92.0374,35.6354,8.776076
idle,SCHED_OTHER,0,20260808,102,26.6368,66.8425,26.6562,8.903882
idle,SCHED_OTHER,0,20260808,103,13.3308,50.5707,13.3333,8.997675
idle,SCHED_OTHER,0,20260808,104,13.0788,84.5972,13.0821,9.062129
idle,SCHED_OTHER,0,20260808,105,49.1020,37.9989,49.1218,9.160368
idle,SCHED_OTHER,0,20260808,106,5.7318,93.9466,5.7368,9.247601
idle,SCHED_OTHER,0,20260808,107,20.3284,99.6166,20.3308,9.347501
idle,SCHED_OTHER,0,20260808,108,20.6942,34.3926,20.6967,9.467982
idle,SCHED_OTHER,0,20260808,109,36.9428,68.3789,36.9453,9.523798
idle,SCHED_OTHER,0,20260808,110,41.6102,36.0281,41.6167,9.629884
idle,SCHED_OTHER,0,20260808,111,40.2388,21.1542,40.2565,9.707629
idle,SCHED_OTHER,0,20260808,112,20.9680,13.9736,20.9874,9.769044
idle,SCHED_OTHER,0,20260808,113,34.5855,33.0234,34.5879,9.804147
idle,SCHED_OTHER,0,20260808,114,33.6797,36.7274,33.6833,9.871850
idle,SCHED_OTHER,0,20260808,115,5.7779,69.6345,5.7804,9.942678
idle,SCHED_OTHER,0,20260808,116,31.2096,10.7187,31.2290,10.018604
idle,SCHED_OTHER,0,20260808,117,43.1157,98.2810,43.1192,10.060918
idle,SCHED_OTHER,0,20260808,118,15.2622,54.1087,15.2892,10.202320
idle,SCHED_OTHER,0,20260808,119,34.3469,81.8040,34.3514,10.271733
idle,SCHED_OTHER,0,20260808,120,20.6264,72.0686,20.6287,10.388237
idle,SCHED_OTHER,0,20260808,121,37.2971,50.4758,37.3045,10.480979
idle,SCHED_OTHER,0,20260808,122,29.4873,40.8005,29.5038,10.569404
idle,SCHED_OTHER,0,20260808,123,15.4408,13.2103,15.4592,10.639981
idle,SCHED_OTHER,0,20260808,124,38.9886,27.5832,39.0129,10.668653
idle,SCHED_OTHER,0,20260808,125,18.3119,89.7355,18.3313,10.735777
idle,SCHED_OTHER,0,20260808,126,28.3108,70.8854,28.3296,10.844270
idle,SCHED_OTHER,0,20260808,127,36.9680,14.8444,36.9714,10.943774
idle,SCHED_OTHER,0,20260808,128,15.4474,16.1216,15.4663,10.995864
idle,SCHED_OTHER,0,20260808,129,28.6360,33.9439,28.6396,11.027454
idle,SCHED_OTHER,0,20260808,130,29.0540,74.1978,29.0739,11.090206
idle,SCHED_OTHER,0,20260808,131,7.0346,48.3452,7.0366,11.193480
idle,SCHED_OTHER,0,20260808,132,27.9469,22.7335,27.9602,11.249647
idle,SCHED_OTHER,0,20260808,133,41.6711,19.6644,41.6870,11.300738
idle,SCHED_OTHER,0,20260808,134,10.4320,52.6729,10.4383,11.362545
idle,SCHED_OTHER,0,20260808,135,20.4351,91.8303,20.4604,11.426105
idle,SCHED_OTHER,0,20260808,136,10.5637,91.2601,10.5659,11.538729
idle,SCHED_OTHER,0,20260808,137,42.1920,56.1675,42.1966,11.640556
idle,SCHED_OTHER,0,20260808,138,36.5418,82.9426,36.5443,11.738922
idle,SCHED_OTHER,0,20260808,139,30.9943,91.3962,30.9979,11.858618
idle,SCHED_OTHER,0,20260808,140,34.9074,17.3528,34.9124,11.981779
idle,SCHED_OTHER,0,20260808,141,7.0952,31.5218,7.0975,12.034807
idle,SCHED_OTHER,0,20260808,142,11.1432,86.5752,11.1456,12.074155
idle,SCHED_OTHER,0,20260808,143,47.7835,73.1923,47.8034,12.172473
idle,SCHED_OTHER,0,20260808,144,36.7244,26.8325,36.7274,12.293473
idle,SCHED_OTHER,0,20260808,145,11.2505,20.3687,11.2699,12.357319
idle,SCHED_OTHER,0,20260808,146,45.8574,75.8028,45.8651,12.389703
idle,SCHED_OTHER,0,20260808,147,9.7808,85.6053,10.1417,12.512004
idle,SCHED_OTHER,0,20260808,148,48.6017,23.0699,48.6061,12.608341
idle,SCHED_OTHER,0,20260808,149,34.6355,15.8280,34.6412,12.680069
idle,SCHED_OTHER,0,20260808,150,11.3230,40.2175,11.3418,12.730822
idle,SCHED_OTHER,0,20260808,151,8.3851,88.0183,8.3872,12.782383
idle,SCHED_OTHER,0,20260808,152,34.1705,19.2942,34.1750,12.878925
idle,SCHED_OTHER,0,20260808,153,17.2162,12.8640,17.2362,12.933203
idle,SCHED_OTHER,0,20260808,154,28.8474,59.8175,28.8509,12.963565
idle,SCHED_OTHER,0,20260808,155,7.0995,63.0252,7.1182,13.052545
idle,SCHED_OTHER,0,20260808,156,34.9617,94.8334,34.9701,13.122805
idle,SCHED_OTHER,0,20260808,157,23.6608,18.7848,23.6644,13.252930
idle,SCHED_OTHER,0,20260808,158,39.5024,74.3712,39.5124,13.295709
idle,SCHED_OTHER,0,20260808,159,33.9218,86.2535,33.9262,13.410411
idle,SCHED_OTHER,0,20260808,160,19.2344,68.6711,19.2534,13.530595
idle,SCHED_OTHER,0,20260808,161,27.5163,24.9450,27.5190,13.618981
idle,SCHED_OTHER,0,20260808,162,20.9369,18.4232,20.9621,13.671610
idle,SCHED_OTHER,0,20260808,163,46.5081,41.3221,46.5278,13.711696
idle,SCHED_OTHER,0,20260808,164,49.1266,20.8435,49.1456,13.800336
idle,SCHED_OTHER,0,20260808,165,12.2269,13.5799,12.2452,13.870592
idle,SCHED_OTHER,0,20260808,166,19.8533,89.8225,19.8576,13.896927
idle,SCHED_OTHER,0,20260808,167,43.2302,21.6644,43.2425,14.006931
idle,SCHED_OTHER,0,20260808,168,38.9080,90.8004,38.9168,14.072304
idle,SCHED_OTHER,0,20260808,169,26.3595,35.2891,26.3628,14.202395
idle,SCHED_OTHER,0,20260808,170,48.9870,52.6473,48.9941,14.264899
idle,SCHED_OTHER,0,20260808,171,16.2572,23.4406,16.2601,14.366988
idle,SCHED_OTHER,0,20260808,172,9.9634,56.7332,9.9751,14.407366
idle,SCHED_OTHER,0,20260808,173,37.6243,47.7474,37.6291,14.474470
idle,SCHED_OTHER,0,20260808,174,7.5579,15.6461,7.5636,14.560214
idle,SCHED_OTHER,0,20260808,175,12.0800,62.4680,12.0832,14.583890
idle,SCHED_OTHER,0,20260808,176,49.1478,73.9478,49.1506,14.659118
idle,SCHED_OTHER,0,20260808,177,29.1773,71.4462,29.1964,14.782418
idle,SCHED_OTHER,0,20260808,178,42.9910,34.8242,43.0101,14.883765
idle,SCHED_OTHER,0,20260808,179,43.9809,93.9044,43.9998,14.961894
idle,SCHED_OTHER,0,20260808,180,27.8839,13.4812,27.8875,15.100060
idle,SCHED_OTHER,0,20260808,181,15.4914,90.4342,15.4944,15.142063
idle,SCHED_OTHER,0,20260808,182,13.7549,75.3211,13.7611,15.248719
idle,SCHED_OTHER,0,20260808,183,8.5707,87.7317,8.5726,15.338626
idle,SCHED_OTHER,0,20260808,184,8.1267,43.4005,8.1297,15.435385
idle,SCHED_OTHER,0,20260808,185,11.3669,55.1241,11.3698,15.487639
idle,SCHED_OTHER,0,20260808,186,32.0744,30.5345,32.0779,15.554137
idle,SCHED_OTHER,0,20260808,187,25.0029,17.6807,25.0225,15.617348
idle,SCHED_OTHER,0,20260808,188,41.7654,88.5345,41.7839,15.660483
idle,SCHED_OTHER,0,20260808,189,32.7576,46.5137,32.7607,15.791450
idle,SCHED_OTHER,0,20260808,190,46.5135,24.2959,46.5333,15.871332
idle,SCHED_OTHER,0,20260808,191,15.3066,55.0938,15.3107,15.942974
idle,SCHED_OTHER,0,20260808,192,33.6571,21.6490,33.6764,16.013406
idle,SCHED_OTHER,0,20260808,193,6.5452,15.8131,6.5478,16.069196
idle,SCHED_OTHER,0,20260808,194,35.9349,11.8560,35.9387,16.091855
idle,SCHED_OTHER,0,20260808,195,12.1513,79.7973,12.1703,16.139908
idle,SCHED_OTHER,0,20260808,196,37.7828,95.4772,37.8016,16.232229
idle,SCHED_OTHER,0,20260808,197,15.3057,40.3102,15.3091,16.366208
idle,SCHED_OTHER,0,20260808,198,7.8705,61.7752,7.8897,16.422648
idle,SCHED_OTHER,0,20260808,199,28.9200,21.0295,28.9468,16.492670
idle,SCHED_OTHER,0,20260808,200,22.3716,35.9082,22.3901,16.542740
idle,SCHED_OTHER,0,20260808,201,10.8356,76.7111,10.8459,16.601249
idle,SCHED_OTHER,0,20260808,202,27.0310,54.4028,27.0336,16.689245
idle,SCHED_OTHER,0,20260808,203,11.6840,63.8390,11.7025,16.771408
idle,SCHED_OTHER,0,20260808,204,11.3756,41.1046,11.3784,16.847239
idle,SCHED_OTHER,0,20260808,205,5.5524,76.5523,5.5788,16.899730
idle,SCHED_OTHER,0,20260808,206,38.5834,14.0959,38.5866,16.982458
