latency_timer_ms,trial,roundtrip_ms,polls
4,0,4.0541,1
4,1,3.9813,1
4,2,4.0208,1
4,3,4.0051,1
4,4,4.0318,1
4,5,3.9909,1
4,6,3.9788,1
4,7,3.9835,1
4,8,3.9981,1
4,9,3.9554,1
4,10,3.9959,1
4,11,4.0227,1
4,12,3.9783,1
4,13,3.9762,1
4,14,3.9804,1
4,15,3.9760,1
4,16,3.9882,1
4,17,3.9897,1
4,18,4.0132,1
4,19,4.0188,1
4,20,3.9681,1
4,21,4.0101,1
4,22,4.0245,1
4,23,4.0039,1
4,24,4.0037,1
4,25,3.9568,1
4,26,4.0007,1
4,27,4.0030,1
4,28,3.9547,1
4,29,3.9802,1
4,30,4.0031,1
4,31,3.9606,1
4,32,4.0034,1
4,33,3.9624,1
4,34,4.0099,1
4,35,4.0043,1
4,36,4.0074,1
4,37,4.0044,1
4,38,3.9989,1
4,39,4.0019,1
4,40,3.9234,1
4,41,4.0199,1
4,42,4.0138,1
4,43,3.9691,1
4,44,4.0327,1
4,45,3.9751,1
4,46,3.9929,1
4,47,3.9994,1
4,48,3.9573,1
4,49,4.0042,1
4,50,3.9807,1
4,51,4.0159,1
4,52,4.0043,1
4,53,3.9824,1
4,54,3.9821,1
4,55,4.0060,1
4,56,3.9900,1
4,57,3.9829,1
4,58,3.9911,1
4,59,4.0024,1
4,60,3.9951,1
4,61,3.9889,1
4,62,4.0112,1
4,63,4.0207,1
4,64,3.9648,1
4,65,4.0012,1
4,66,3.9849,1
4,67,3.9639,1
4,68,3.9879,1
4,69,3.9996,1
4,70,4.0220,1
4,71,4.0130,1
4,72,4.0077,1
4,73,3.9515,1
4,74,3.9554,1
4,75,4.0424,1
4,76,4.0550,1
4,77,3.9734,1
4,78,4.0327,1
4,79,4.0071,1
4,80,3.9869,1
4,81,4.0440,1
4,82,3.9788,1
4,83,4.0153,1
4,84,4.0400,1
4,85,4.0150,1
4,86,3.9579,1
4,87,4.0118,1
4,88,3.9793,1
4,89,4.0347,1
4,90,4.0209,1
4,91,3.9371,1
4,92,4.0034,1
4,93,4.0445,1
4,94,3.9957,1
4,95,3.9077,1
4,96,3.9675,1
4,97,3.9131,1
4,98,4.0029,1
4,99,3.9741,1
4,100,4.0037,1
4,101,4.0042,1
4,102,4.1109,1
4,103,3.9722,1
4,104,3.9688,1
4,105,4.0343,1
4,106,4.0646,1
4,107,3.9829,1
4,108,3.9866,1
4,109,3.9724,1
4,110,4.0002,1
4,111,3.7981,1
4,112,3.9202,1
4,113,3.8893,1
4,114,4.0154,1
4,115,3.9983,1
4,116,3.9141,1
4,117,4.0067,1
4,118,3.9689,1
4,119,3.9487,1
4,120,3.9567,1
4,121,3.9860,1
4,122,3.9802,1
4,123,4.0152,1
4,124,3.9763,1
4,125,4.0128,1
4,126,3.9682,1
4,127,3.9740,1
4,128,3.9812,1
4,129,4.0262,1
4,130,4.0427,1
4,131,4.0763,1
4,132,3.9735,1
4,133,4.0926,1
4,134,3.9954,1
4,135,3.9809,1
4,136,3.9577,1
4,137,4.0293,1
4,138,3.9977,1
4,139,3.8857,1
4,140,4.0251,1
4,141,4.0134,1
4,142,4.0058,1
4,143,3.9169,1
4,144,3.9880,1
4,145,3.9653,1
4,146,3.9827,1
4,147,4.0183,1
4,148,3.9894,1
4,149,3.9821,1
4,150,4.0223,1
4,151,4.0065,1
4,152,4.0095,1
4,153,4.0172,1
4,154,3.9935,1
4,155,3.9929,1
4,156,4.0066,1
4,157,4.0321,1
4,158,3.9602,1
4,159,3.9960,1
4,160,3.9782,1
4,161,4.0047,1
4,162,4.0322,1
4,163,3.9912,1
4,164,4.0161,1
4,165,3.9814,1
4,166,3.9991,1
4,167,3.9887,1
4,168,4.0116,1
4,169,4.0118,1
4,170,3.9308,1
4,171,4.0048,1
4,172,4.0119,1
4,173,3.9976,1
4,174,4.0488,1
4,175,3.9946,1
4,176,4.0050,1
4,177,3.9951,1
4,178,3.9544,1
4,179,4.0221,1
4,180,3.9749,1
4,181,3.9908,1
4,182,4.0197,1
4,183,4.1448,1
4,184,4.0032,1
4,185,4.0224,1
4,186,3.9966,1
4,187,4.0192,1
4,188,4.0301,1
4,189,4.0034,1
4,190,3.9913,1
4,191,4.0114,1
4,192,3.9537,1
4,193,3.9409,1
4,194,3.9647,1
4,195,4.0272,1
4,196,4.0045,1
4,197,4.0314,1
4,198,3.9515,1
4,199,4.0533,1
4,200,3.9972,1
4,201,4.0300,1
4,202,3.9899,1
4,203,3.9798,1
4,204,4.0071,1
4,205,3.9833,1
4,206,3.8995,1
4,207,4.0011,1
4,208,3.9573,1
4,209,4.1896,1
4,210,3.9919,1
4,211,3.9931,1
4,212,3.9298,1
4,213,3.9356,1
4,214,3.9550,1
4,215,3.9492,1
4,216,4.0101,1
4,217,3.8228,1
4,218,4.0608,1
4,219,4.0076,1
4,220,4.0897,1
4,221,4.0262,1
4,222,3.9872,1
4,223,3.8813,1
4,224,4.0292,1
4,225,3.9968,1
4,226,3.9865,1
4,227,3.9760,1
4,228,3.9602,1
4,229,4.0306,1
4,230,3.9806,1
4,231,4.0315,1
4,232,3.9830,1
4,233,3.9825,1
4,234,3.9903,1
4,235,3.9958,1
4,236,4.0053,1
4,237,3.9859,1
4,238,4.0050,1
4,239,4.0008,1
4,240,3.9862,1
4,241,4.0056,1
4,242,3.9288,1
4,243,3.9612,1
4,244,4.0198,1
4,245,4.0873,1
4,246,3.9945,1
4,247,3.9711,1
4,248,4.0041,1
4,249,4.0072,1
4,250,4.0085,1
4,251,3.9734,1
4,252,4.0368,1
4,253,4.0097,1
4,254,4.0044,1
4,255,4.0074,1
4,256,4.0366,1
4,257,4.0132,1
