condition,policy,priority,seed,trial,target_width_ms,host_width_ms,measured_width_ms,residual_ms,rise_s,fall_s
load,SCHED_OTHER,0,20260808,62,18.6354,18.6480,18.6048,-0.7786,9.851120,9.869725
load,SCHED_OTHER,0,20260808,63,8.6108,8.6145,8.5902,-0.7576,9.932946,9.941536
load,SCHED_OTHER,0,20260808,64,20.3663,22.8730,22.8388,1.7227,10.033119,10.055958
load,SCHED_OTHER,0,20260808,65,41.6893,41.7005,41.6758,-0.7868,10.134154,10.175830
load,SCHED_OTHER,0,20260808,66,27.0262,28.9396,28.9231,1.1398,10.231982,10.260905
load,SCHED_OTHER,0,20260808,67,24.5534,24.5773,24.5441,-0.7637,10.348232,10.372776
load,SCHED_OTHER,0,20260808,68,28.5485,29.8236,29.7854,0.4781,10.455017,10.484803
load,SCHED_OTHER,0,20260808,69,28.9136,30.9197,30.8908,1.2180,10.581007,10.611897
load,SCHED_OTHER,0,20260808,70,18.2922,18.8046,18.7973,-0.2424,10.629098,10.647895
load,SCHED_OTHER,0,20260808,71,28.0983,29.4983,29.4641,0.6075,10.708093,10.737557
load,SCHED_OTHER,0,20260808,72,40.3108,40.3312,40.3143,-0.7682,10.821782,10.862096
load,SCHED_OTHER,0,20260808,73,20.7599,21.6327,21.5947,0.0846,10.935323,10.956917
load,SCHED_OTHER,0,20260808,74,22.0312,22.0534,22.0166,-0.7663,10.998102,11.020119
load,SCHED_OTHER,0,20260808,75,47.9015,47.9185,47.9016,-0.7799,11.086310,11.134212
load,SCHED_OTHER,0,20260808,76,34.7463,34.7705,34.6732,-0.8388,11.158102,11.192775
load,SCHED_OTHER,0,20260808,77,17.3642,19.8694,19.7794,1.6687,11.264090,11.283870
load,SCHED_OTHER,0,20260808,78,31.4820,31.5062,31.4427,-0.8014,11.312083,11.343526
load,SCHED_OTHER,0,20260808,79,26.9781,29.0890,29.0804,1.3452,11.440850,11.469930
