condition,policy,priority,seed,trial,target_width_ms,host_width_ms,measured_width_ms,residual_ms,rise_s,fall_s
idle,SCHED_OTHER,0,20260808,61,14.8805,14.8999,14.8820,0.0025,9.890693,9.905575
idle,SCHED_OTHER,0,20260808,62,18.6354,18.6386,18.6240,-0.0099,9.956710,9.975334
idle,SCHED_OTHER,0,20260808,63,8.6108,8.6303,8.6152,0.0044,10.038526,10.047141
idle,SCHED_OTHER,0,20260808,64,20.3663,20.3772,20.3488,-0.0157,10.138335,10.158683
idle,SCHED_OTHER,0,20260808,65,41.6893,41.6956,41.6727,-0.0117,10.236913,10.278585
idle,SCHED_OTHER,0,20260808,66,27.0262,27.0285,27.0137,-0.0097,10.334724,10.361737
idle,SCHED_OTHER,0,20260808,67,24.5534,24.5564,24.5708,0.0198,10.449009,10.473580
idle,SCHED_OTHER,0,20260808,68,28.5485,28.5514,28.5439,-0.0016,10.555732,10.584276
idle,SCHED_OTHER,0,20260808,69,28.9136,28.9224,28.9046,-0.0060,10.680445,10.709350
idle,SCHED_OTHER,0,20260808,70,18.2922,18.2948,18.2744,-0.0163,10.726546,10.744820
idle,SCHED_OTHER,0,20260808,71,28.0983,28.1185,28.0942,-0.0012,10.804945,10.833040
idle,SCHED_OTHER,0,20260808,72,40.3108,40.3183,40.2970,-0.0091,10.917211,10.957508
idle,SCHED_OTHER,0,20260808,73,20.7599,20.7785,20.7687,0.0106,11.030670,11.051439
idle,SCHED_OTHER,0,20260808,74,22.0312,22.0497,22.0439,0.0147,11.092554,11.114598
idle,SCHED_OTHER,0,20260808,75,47.9015,47.9048,47.9031,0.0074,11.180737,11.228640
idle,SCHED_OTHER,0,20260808,76,34.7463,34.7491,34.7481,0.0057,11.252762,11.287510
idle,SCHED_OTHER,0,20260808,77,17.3642,17.3828,17.3559,-0.0070,11.358749,11.376105
idle,SCHED_OTHER,0,20260808,78,31.4820,31.5025,31.4823,0.0037,11.404246,11.435729
idle,SCHED_OTHER,0,20260808,79,26.9781,26.9820,26.9692,-0.0062,11.533042,11.560011
idle,SCHED_OTHER,0,20260808,80,31.2134,31.2319,31.2312,0.0212,11.649189,11.680421
idle,SCHED_OTHER,0,20260808,81,39.0071,39.0269,39.0237,0.0211,11.750559,11.789583
idle,SCHED_OTHER,0,20260808,82,18.6734,18.6946,18.6831,0.0112,11.868759,11.887442
idle,SCHED_OTHER,0,20260808,83,14.3325,14.3349,14.3354,0.0038,11.952586,11.966922
idle,SCHED_OTHER,0,20260808,84,17.1471,17.1511,17.1496,0.0038,11.998052,12.015202
idle,SCHED_OTHER,0,20260808,85,24.9913,24.9940,24.9094,-0.0795,12.049426,12.074335
idle,SCHED_OTHER,0,20260808,86,24.3493,24.3697,24.3589,0.0119,12.115463,12.139822
idle,SCHED_OTHER,0,20260808,87,27.5070,27.5258,27.5242,0.0200,12.163960,12.191485
idle,SCHED_OTHER,0,20260808,88,46.2917,46.3108,46.3057,0.0196,12.247611,12.293917
idle,SCHED_OTHER,0,20260808,89,20.1499,20.1526,20.1452,-0.0030,12.387086,12.407231
idle,SCHED_OTHER,0,20260808,90,42.4137,42.4334,42.3732,-0.0355,12.438409,12.480782
idle,SCHED_OTHER,0,20260808,91,34.0063,34.0115,33.9994,-0.0031,12.560897,12.594896
idle,SCHED_OTHER,0,20260808,92,36.1894,36.1929,36.2031,0.0178,12.654027,12.690230
idle,SCHED_OTHER,0,20260808,93,39.0799,39.0990,39.0798,0.0044,12.759415,12.798495
idle,SCHED_OTHER,0,20260808,94,44.5899,44.5937,44.5731,-0.0115,12.855659,12.900232
idle,SCHED_OTHER,0,20260808,95,6.9783,6.9972,6.9927,0.0142,12.942405,12.949398
