latency_timer_ms,trial,roundtrip_ms,polls
1,0,1.0677,1
1,1,0.9108,1
1,2,0.9738,1
1,3,1.0091,1
1,4,0.9919,1
1,5,0.8893,1
1,6,1.0349,1
1,7,0.9995,1
1,8,0.9547,1
1,9,0.9361,1
1,10,1.0261,1
1,11,0.8793,1
1,12,0.9835,1
1,13,0.9853,1
1,14,1.0092,1
1,15,0.9550,1
1,16,1.0313,1
1,17,0.9991,1
1,18,0.9328,1
1,19,1.0089,1
1,20,0.9911,1
1,21,0.9801,1
1,22,0.9933,1
1,23,0.9850,1
1,24,1.0222,1
1,25,0.9729,1
1,26,0.9797,1
1,27,1.0240,1
1,28,1.0178,1
1,29,1.0348,1
1,30,0.9793,1
1,31,1.0031,1
1,32,0.9687,1
1,33,1.0027,1
1,34,1.0025,1
1,35,0.9893,1
1,36,0.9995,1
1,37,0.9524,1
1,38,0.9885,1
1,39,0.9716,1
1,40,0.9945,1
1,41,0.9684,1
1,42,0.9790,1
1,43,0.9850,1
1,44,0.8750,1
1,45,0.9960,1
1,46,1.0306,1
1,47,1.0136,1
1,48,0.9863,1
1,49,0.9440,1
1,50,1.0071,1
1,51,0.9955,1
1,52,0.9726,1
1,53,1.0147,1
1,54,0.9666,1
1,55,1.0449,1
1,56,0.9584,1
1,57,0.9583,1
1,58,1.0093,1
1,59,1.0081,1
1,60,1.0039,1
1,61,0.9792,1
1,62,0.9804,1
1,63,0.9322,1
1,64,0.9681,1
1,65,1.0508,1
1,66,1.0559,1
1,67,0.9556,1
1,68,1.0060,1
1,69,1.0197,1
1,70,0.9941,1
1,71,1.0475,1
1,72,0.9490,1
1,73,1.0155,1
1,74,0.9764,1
1,75,1.0231,1
1,76,1.0409,1
1,77,0.9887,1
1,78,0.9610,1
1,79,1.0009,1
1,80,1.0365,1
1,81,0.9622,1
1,82,1.0529,1
1,83,1.0329,1
1,84,0.9713,1
1,85,0.9939,1
1,86,1.0023,1
1,87,0.9802,1
1,88,0.9771,1
1,89,0.8506,1
1,90,1.0281,1
1,91,1.0143,1
1,92,0.9900,1
1,93,0.9952,1
1,94,1.0068,1
1,95,0.9906,1
1,96,0.9635,1
1,97,1.0287,1
1,98,1.0008,1
1,99,1.0085,1
1,100,0.9979,1
1,101,0.9513,1
1,102,0.9520,1
1,103,1.0065,1
1,104,1.0384,1
1,105,0.9477,1
1,106,0.9826,1
1,107,0.9846,1
1,108,1.0002,1
1,109,0.9857,1
1,110,0.9674,1
1,111,0.9982,1
1,112,0.9978,1
1,113,0.9842,1
1,114,1.0010,1
1,115,1.0285,1
1,116,0.9802,1
1,117,1.0044,1
1,118,0.9923,1
1,119,1.0075,1
1,120,0.9865,1
1,121,0.9816,1
1,122,0.9643,1
1,123,1.0360,1
1,124,0.9653,1
1,125,0.9628,1
1,126,0.9871,1
1,127,1.0197,1
1,128,0.9889,1
1,129,0.9136,1
1,130,0.9819,1
1,131,1.0354,1
1,132,1.0081,1
1,133,1.0691,1
1,134,1.0021,1
1,135,1.0249,1
1,136,0.9709,1
1,137,0.9726,1
1,138,1.0362,1
1,139,1.0598,1
1,140,1.0341,1
1,141,0.9370,1
1,142,0.9508,1
1,143,1.0417,1
1,144,0.9801,1
1,145,0.9948,1
1,146,1.0652,1
1,147,1.0547,1
1,148,1.0321,1
1,149,1.0920,1
1,150,1.0012,1
1,151,1.0281,1
1,152,0.9589,1
1,153,0.9857,1
1,154,0.8648,1
1,155,1.0343,1
1,156,0.9819,1
1,157,0.9961,1
1,158,0.9602,1
1,159,1.0538,1
1,160,0.9969,1
1,161,0.9952,1
1,162,0.9700,1
1,163,1.0091,1
1,164,0.9836,1
1,165,1.0064,1
1,166,0.9550,1
1,167,1.0010,1
1,168,0.9690,1
1,169,0.9628,1
1,170,1.0947,1
1,171,0.9725,1
1,172,0.9988,1
1,173,0.9759,1
1,174,0.9692,1
1,175,0.9824,1
1,176,0.9618,1
1,177,0.9550,1
1,178,0.9401,1
1,179,1.0415,1
1,180,1.0465,1
1,181,1.0202,1
1,182,0.9758,1
1,183,0.9209,1
1,184,1.0360,1
1,185,0.9612,1
1,186,1.0479,1
1,187,0.9719,1
1,188,0.9261,1
1,189,0.9639,1
1,190,0.9984,1
1,191,0.9752,1
1,192,0.9176,1
1,193,0.9046,1
1,194,0.9881,1
1,195,0.9348,1
1,196,0.9724,1
1,197,1.0330,1
1,198,1.0286,1
1,199,1.0277,1
1,200,0.9814,1
1,201,0.9540,1
1,202,1.0455,1
1,203,0.9860,1
1,204,0.9713,1
1,205,0.9595,1
1,206,1.0461,1
1,207,0.9679,1
1,208,0.9778,1
1,209,0.9921,1
1,210,0.9727,1
1,211,0.9936,1
1,212,0.9915,1
1,213,1.0445,1
1,214,0.9650,1
1,215,0.9777,1
1,216,0.9834,1
1,217,1.0076,1
1,218,0.8939,1
1,219,0.9814,1
1,220,0.9827,1
1,221,1.0230,1
1,222,1.0250,1
1,223,0.9830,1
1,224,1.0007,1
1,225,1.0029,1
1,226,1.0175,1
1,227,1.0027,1
1,228,1.0081,1
1,229,0.9852,1
1,230,0.9995,1
1,231,1.0106,1
1,232,1.0210,1
1,233,0.9339,1
1,234,1.0278,1
1,235,0.8986,1
1,236,1.0019,1
1,237,0.9861,1
1,238,1.0271,1
1,239,0.9983,1
1,240,0.9758,1
1,241,0.9574,1
1,242,0.9846,1
1,243,0.9532,1
1,244,0.8905,1
1,245,1.0305,1
1,246,0.9560,1
1,247,0.8712,1
1,248,1.0177,1
1,249,0.9864,1
1,250,0.9815,1
1,251,0.9851,1
1,252,0.9935,1
1,253,1.0217,1
1,254,0.9792,1
1,255,0.9852,1
1,256,1.0206,1
1,257,1.0010,1
1,258,1.0007,1
1,259,1.0021,1
1,260,1.0095,1
1,261,1.0068,1
1,262,1.0190,1
1,263,0.9872,1
1,264,1.0014,1
1,265,0.9925,1
1,266,1.0604,1
1,267,0.9693,1
1,268,0.9999,1
1,269,1.0093,1
1,270,1.0100,1
1,271,1.0159,1
1,272,1.0163,1
1,273,0.9814,1
1,274,0.9734,1
1,275,1.0052,1
1,276,0.9782,1
1,277,1.0149,1
1,278,1.0736,1
1,279,0.9951,1
1,280,1.0048,1
1,281,0.9714,1
1,282,0.9972,1
1,283,1.0037,1
1,284,1.0172,1
1,285,0.9978,1
1,286,0.9831,1
1,287,0.9995,1
1,288,1.0722,1
1,289,1.0051,1
1,290,1.1019,1
1,291,0.9995,1
1,292,1.0283,1
1,293,0.9914,1
1,294,0.9874,1
1,295,1.0223,1
1,296,1.0312,1
1,297,1.0097,1
1,298,1.0049,1
1,299,0.9763,1
