op,latency_timer_ms,trial,roundtrip_ms
ping,1,0,1.2575
ping,1,1,0.9600
ping,1,2,0.9847
ping,1,3,0.9996
ping,1,4,0.9849
ping,1,5,1.0039
ping,1,6,1.0292
ping,1,7,0.8899
ping,1,8,1.0805
ping,1,9,0.9831
ping,1,10,0.9569
ping,1,11,1.0280
ping,1,12,0.8880
ping,1,13,0.9998
ping,1,14,1.0220
ping,1,15,0.9747
ping,1,16,1.0309
ping,1,17,0.9590
ping,1,18,1.0000
ping,1,19,1.0229
ping,1,20,0.9635
ping,1,21,1.0006
ping,1,22,1.0017
ping,1,23,0.9833
ping,1,24,1.0094
ping,1,25,1.0050
ping,1,26,0.9788
ping,1,27,1.0010
ping,1,28,0.9996
ping,1,29,0.9825
ping,1,30,1.0090
ping,1,31,1.0024
ping,1,32,0.9731
ping,1,33,1.0075
ping,1,34,0.9985
ping,1,35,0.9806
ping,1,36,1.0114
ping,1,37,1.0010
ping,1,38,0.9788
ping,1,39,1.0140
ping,1,40,1.0104
ping,1,41,0.9757
ping,1,42,0.9953
ping,1,43,0.9843
ping,1,44,1.0136
ping,1,45,0.9555
ping,1,46,1.0232
ping,1,47,0.9683
ping,1,48,1.0019
ping,1,49,1.0234
ping,1,50,0.9677
ping,1,51,1.0015
ping,1,52,1.0234
ping,1,53,0.9667
ping,1,54,1.0017
ping,1,55,1.0235
ping,1,56,0.9624
ping,1,57,0.9994
ping,1,58,1.0036
ping,1,59,1.0297
ping,1,60,0.9621
ping,1,61,0.9981
ping,1,62,0.9799
ping,1,63,1.0145
ping,1,64,1.0011
ping,1,65,0.9746
ping,1,66,1.0101
ping,1,67,1.0029
ping,1,68,0.9826
ping,1,69,1.0086
ping,1,70,1.0013
ping,1,71,0.9789
ping,1,72,1.0129
ping,1,73,1.0008
ping,1,74,0.9799
ping,1,75,1.0109
ping,1,76,1.0005
ping,1,77,0.9824
ping,1,78,1.0095
ping,1,79,0.9983
ping,1,80,0.9821
ping,1,81,1.0101
ping,1,82,1.0007
ping,1,83,0.9804
ping,1,84,1.0127
ping,1,85,0.9991
ping,1,86,0.9820
ping,1,87,1.0087
ping,1,88,1.0047
ping,1,89,0.9888
ping,1,90,0.9969
ping,1,91,1.0000
