op,latency_timer_ms,trial,roundtrip_ms
ping,4,0,0.5455
ping,4,1,4.1791
ping,4,2,3.8683
ping,4,3,4.0108
ping,4,4,3.8341
ping,4,5,3.9713
ping,4,6,3.9288
ping,4,7,4.0031
ping,4,8,3.9840
ping,4,9,4.1056
ping,4,10,3.8996
ping,4,11,3.9981
ping,4,12,3.9848
ping,4,13,4.0015
ping,4,14,3.9968
ping,4,15,4.0869
ping,4,16,3.9998
ping,4,17,4.1258
ping,4,18,3.9337
ping,4,19,4.0000
ping,4,20,3.9783
ping,4,21,3.9516
ping,4,22,4.0076
ping,4,23,3.9952
ping,4,24,3.9777
ping,4,25,4.0437
ping,4,26,3.8097
ping,4,27,3.9107
ping,4,28,4.1107
ping,4,29,3.9693
ping,4,30,3.9939
ping,4,31,4.0192
ping,4,32,3.9530
ping,4,33,4.1630
ping,4,34,3.7429
ping,4,35,4.1369
ping,4,36,3.9057
ping,4,37,4.0111
ping,4,38,4.0307
ping,4,39,3.9335
ping,4,40,4.0395
ping,4,41,3.9823
ping,4,42,4.0400
ping,4,43,3.9672
ping,4,44,3.9736
ping,4,45,3.9759
ping,4,46,4.0255
ping,4,47,4.0644
ping,4,48,3.9546
ping,4,49,4.0235
ping,4,50,3.9888
ping,4,51,3.9814
ping,4,52,3.9826
ping,4,53,3.9613
ping,4,54,4.0408
ping,4,55,3.9481
ping,4,56,3.9807
ping,4,57,3.9592
ping,4,58,4.0490
ping,4,59,3.9596
ping,4,60,3.8473
ping,4,61,3.9574
ping,4,62,4.0687
ping,4,63,4.0477
ping,4,64,3.9907
ping,4,65,3.9105
ping,4,66,3.9977
ping,4,67,3.9597
ping,4,68,3.9938
ping,4,69,3.9509
ping,4,70,4.0255
ping,4,71,3.9831
ping,4,72,4.0014
ping,4,73,3.9468
ping,4,74,4.0073
ping,4,75,4.0718
ping,4,76,3.8845
ping,4,77,3.9962
ping,4,78,3.9561
ping,4,79,3.9903
ping,4,80,3.9692
ping,4,81,4.0993
ping,4,82,3.8635
ping,4,83,4.0057
ping,4,84,3.9734
ping,4,85,3.9636
ping,4,86,4.0124
ping,4,87,3.9596
ping,4,88,4.0335
ping,4,89,4.0255
ping,4,90,3.9982
ping,4,91,3.9553
ping,4,92,4.0609
ping,4,93,3.9164
ping,4,94,3.9559
ping,4,95,3.9780
ping,4,96,4.0013
ping,4,97,4.0062
ping,4,98,3.9585
ping,4,99,4.0213
ping,4,100,3.9016
ping,4,101,4.0374
ping,4,102,3.9779
ping,4,103,3.9382
ping,4,104,3.9622
ping,4,105,4.0161
ping,4,106,3.9753
ping,4,107,3.9627
ping,4,108,4.0177
ping,4,109,3.9897
ping,4,110,3.9627
ping,4,111,3.9756
ping,4,112,3.9611
ping,4,113,3.9391
ping,4,114,4.0207
ping,4,115,3.9783
ping,4,116,3.9864
ping,4,117,3.9887
ping,4,118,3.9909
ping,4,119,3.9960
ping,4,120,4.0361
ping,4,121,3.9778
ping,4,122,3.9867
ping,4,123,3.9646
ping,4,124,4.0056
ping,4,125,3.9956
ping,4,126,3.9714
ping,4,127,3.9773
ping,4,128,3.9035
ping,4,129,3.9854
ping,4,130,4.0756
ping,4,131,3.9835
ping,4,132,3.9007
ping,4,133,3.9862
ping,4,134,4.0019
ping,4,135,3.9699
ping,4,136,4.0427
ping,4,137,3.9297
ping,4,138,3.9862
ping,4,139,3.9937
ping,4,140,3.9583
ping,4,141,3.9787
ping,4,142,3.9864
ping,4,143,4.0330
ping,4,144,3.9522
ping,4,145,3.9677
ping,4,146,4.0510
ping,4,147,3.9516
ping,4,148,3.9845
ping,4,149,4.0459
ping,4,150,3.9317
ping,4,151,3.9903
ping,4,152,3.9699
ping,4,153,4.0032
ping,4,154,4.0033
ping,4,155,3.9691
ping,4,156,3.9467
ping,4,157,4.0130
ping,4,158,3.9999
ping,4,159,3.9541
ping,4,160,4.0338
ping,4,161,3.9778
ping,4,162,3.9306
ping,4,163,3.9815
ping,4,164,3.9572
ping,4,165,4.0802
ping,4,166,4.0945
ping,4,167,3.8151
ping,4,168,3.9188
ping,4,169,3.9939
ping,4,170,3.9491
ping,4,171,3.9925
ping,4,172,4.0145
ping,4,173,3.9628
ping,4,174,4.0329
ping,4,175,3.9760
ping,4,176,3.9749
ping,4,177,4.0634
ping,4,178,3.9354
ping,4,179,3.9836
ping,4,180,3.9982
ping,4,181,3.9663
ping,4,182,3.9685
ping,4,183,4.1072
ping,4,184,3.9819
ping,4,185,3.9698
ping,4,186,3.9566
ping,4,187,4.0345
ping,4,188,3.9659
ping,4,189,3.9397
ping,4,190,4.0123
ping,4,191,3.9787
ping,4,192,3.9748
ping,4,193,3.9801
ping,4,194,3.9892
ping,4,195,4.0187
ping,4,196,3.9433
ping,4,197,3.8895
ping,4,198,4.0871
ping,4,199,4.0054
ping,4,200,3.9891
ping,4,201,3.9201
ping,4,202,4.0045
ping,4,203,4.0177
ping,4,204,3.9835
ping,4,205,3.9094
ping,4,206,4.0518
ping,4,207,3.9498
ping,4,208,3.9863
ping,4,209,3.9790
ping,4,210,4.0300
ping,4,211,3.9906
ping,4,212,4.0114
ping,4,213,4.0076
ping,4,214,4.0221
ping,4,215,3.9504
ping,4,216,3.9273
ping,4,217,3.9881
ping,4,218,3.9595
ping,4,219,4.0718
ping,4,220,3.9565
ping,4,221,3.8360
ping,4,222,3.9740
ping,4,223,3.9157
ping,4,224,4.0148
ping,4,225,4.0938
ping,4,226,3.8806
ping,4,227,3.9845
ping,4,228,3.9732
ping,4,229,4.0087
ping,4,230,3.9868
ping,4,231,4.0257
ping,4,232,3.9534
ping,4,233,4.0071
ping,4,234,3.9541
ping,4,235,4.0028
ping,4,236,3.9547
ping,4,237,4.0331
ping,4,238,3.9963
ping,4,239,3.9725
ping,4,240,3.9781
ping,4,241,3.9773
ping,4,242,4.0178
ping,4,243,4.0148
ping,4,244,3.9668
ping,4,245,4.0020
ping,4,246,4.0008
ping,4,247,4.0049
ping,4,248,3.9735
ping,4,249,3.9639
ping,4,250,4.0095
ping,4,251,4.0042
ping,4,252,3.9783
ping,4,253,4.0087
ping,4,254,3.9585
ping,4,255,4.0374
ping,4,256,4.0009
ping,4,257,3.9590
ping,4,258,4.0205
ping,4,259,3.9679
ping,4,260,4.0079
ping,4,261,3.9787
ping,4,262,4.0031
ping,4,263,3.9841
ping,4,264,4.0789
ping,4,265,3.9493
ping,4,266,4.0148
ping,4,267,3.9647
ping,4,268,4.0309
ping,4,269,3.9911
ping,4,270,3.9593
ping,4,271,4.0097
ping,4,272,4.0287
ping,4,273,3.9820
ping,4,274,4.0335
ping,4,275,3.9601
ping,4,276,3.9197
ping,4,277,4.0072
ping,4,278,3.9666
ping,4,279,3.9906
ping,4,280,4.0145
ping,4,281,4.0189
ping,4,282,3.9865
ping,4,283,3.9777
ping,4,284,3.9699
ping,4,285,3.9891
ping,4,286,4.0102
ping,4,287,3.9852
ping,4,288,4.0269
ping,4,289,3.9702
ping,4,290,3.9868
ping,4,291,4.0326
ping,4,292,3.9695
ping,4,293,3.9595
ping,4,294,4.0870
ping,4,295,4.0204
ping,4,296,3.9816
ping,4,297,3.9869
ping,4,298,3.9942
ping,4,299,3.9569
read1,4,0,3.6256
read1,4,1,4.0654
read1,4,2,4.0216
read1,4,3,3.9269
read1,4,4,4.0255
read1,4,5,3.9601
read1,4,6,3.9677
read1,4,7,3.9841
read1,4,8,3.9990
read1,4,9,4.0461
read1,4,10,3.9786
read1,4,11,3.8256
read1,4,12,3.9861
