arm,gap_ms,burst,trial,final_state,stuck
discard,1,20,29,0,False
discard,1,20,30,0,False
discard,1,20,31,0,False
discard,1,20,32,0,False
discard,1,20,33,0,False
discard,1,20,34,0,False
discard,1,20,35,0,False
discard,1,20,36,0,False
discard,1,20,37,0,False
discard,1,20,38,0,False
discard,1,20,39,0,False
discard,1,20,40,0,False
discard,1,20,41,0,False
discard,1,20,42,0,False
discard,1,20,43,0,False
discard,1,20,44,0,False
discard,1,20,45,0,False
discard,1,20,46,0,False
discard,1,20,47,0,False
discard,1,20,48,0,False
discard,1,20,49,0,False
discard,0.5000,20,0,0,False
discard,0.5000,20,1,0,False
discard,0.5000,20,2,0,False
discard,0.5000,20,3,0,False
discard,0.5000,20,4,0,False
discard,0.5000,20,5,0,False
discard,0.5000,20,6,0,False
discard,0.5000,20,7,0,False
discard,0.5000,20,8,0,False
discard,0.5000,20,9,0,False
discard,0.5000,20,10,0,False
discard,0.5000,20,11,0,False
discard,0.5000,20,12,0,False
discard,0.5000,20,13,0,False
discard,0.5000,20,14,0,False
discard,0.5000,20,15,0,False
discard,0.5000,20,16,0,False
discard,0.5000,20,17,0,False
discard,0.5000,20,18,0,False
discard,0.5000,20,19,0,False
discard,0.5000,20,20,0,False
discard,0.5000,20,21,0,False
discard,0.5000,20,22,0,False
discard,0.5000,20,23,0,False
discard,0.5000,20,24,0,False
discard,0.5000,20,25,0,False
discard,0.5000,20,26,0,False
discard,0.5000,20,27,0,False
discard,0.5000,20,28,0,False
discard,0.5000,20,29,0,False
discard,0.5000,20,30,0,False
discard,0.5000,20,31,0,False
discard,0.5000,20,32,0,False
discard,0.5000,20,33,0,False
discard,0.5000,20,34,0,False
discard,0.5000,20,35,0,False
discard,0.5000,20,36,0,False
discard,0.5000,20,37,0,False
discard,0.5000,20,38,0,False
discard,0.5000,20,39,0,False
discard,0.5000,20,40,0,False
discard,0.5000,20,41,0,False
discard,0.5000,20,42,0,False
discard,0.5000,20,43,0,False
discard,0.5000,20,44,0,False
discard,0.5000,20,45,0,False
discard,0.5000,20,46,0,False
discard,0.5000,20,47,0,False
discard,0.5000,20,48,0,False
discard,0.5000,20,49,0,False
discard,0,20,0,0,False
discard,0,20,1,0,False
discard,0,20,2,0,False
discard,0,20,3,0,False
discard,0,20,4,0,False
discard,0,20,5,0,False
discard,0,20,6,0,False
discard,0,20,7,0,False
discard,0,20,8,0,False
discard,0,20,9,0,False
discard,0,20,10,0,False
discard,0,20,11,0,False
discard,0,20,12,0,False
discard,0,20,13,0,False
discard,0,20,14,0,False
discard,0,20,15,0,False
discard,0,20,16,0,False
discard,0,20,17,0,False
discard,0,20,18,0,False
discard,0,20,19,0,False
discard,0,20,20,0,False
discard,0,20,21,0,False
discard,0,20,22,0,False
discard,0,20,23,0,False
discard,0,20,24,0,False
discard,0,20,25,0,False
discard,0,20,26,0,False
discard,0,20,27,0,False
discard,0,20,28,0,False
discard,0,20,29,0,False
discard,0,20,30,0,False
discard,0,20,31,0,False
discard,0,20,32,0,False
discard,0,20,33,0,False
discard,0,20,34,0,False
discard,0,20,35,0,False
discard,0,20,36,0,False
discard,0,20,37,0,False
discard,0,20,38,0,False
discard,0,20,39,0,False
discard,0,20,40,0,False
discard,0,20,41,0,False
discard,0,20,42,0,False
discard,0,20,43,0,False
discard,0,20,44,0,False
discard,0,20,45,0,False
discard,0,20,46,0,False
discard,0,20,47,0,False
discard,0,20,48,0,False
discard,0,20,49,0,False
