condition,device,policy,priority,requested_ms,trial,host_width_ms,scope_width_ms
idle,ttlbox,SCHED_OTHER,0,10.0000,27,nan,8.7900
idle,ttlbox,SCHED_OTHER,0,10.0000,28,nan,10.2400
idle,ttlbox,SCHED_OTHER,0,10.0000,29,nan,9.4900
idle,ttlbox,SCHED_OTHER,0,10.0000,30,nan,9.5900
idle,ttlbox,SCHED_OTHER,0,10.0000,31,nan,8.7200
idle,ttlbox,SCHED_OTHER,0,10.0000,32,nan,9.0700
idle,ttlbox,SCHED_OTHER,0,10.0000,33,nan,8.4000
idle,ttlbox,SCHED_OTHER,0,10.0000,34,nan,8.2400
idle,ttlbox,SCHED_OTHER,0,10.0000,35,nan,9.6700
idle,ttlbox,SCHED_OTHER,0,10.0000,36,nan,8.6300
idle,ttlbox,SCHED_OTHER,0,10.0000,37,nan,8.5300
idle,ttlbox,SCHED_OTHER,0,10.0000,38,nan,10.2400
idle,ttlbox,SCHED_OTHER,0,10.0000,39,nan,9.7300
idle,ttlbox,SCHED_OTHER,0,10.0000,40,nan,10.1100
idle,ttlbox,SCHED_OTHER,0,10.0000,41,nan,9.6000
idle,ttlbox,SCHED_OTHER,0,10.0000,42,nan,8.7700
idle,ttlbox,SCHED_OTHER,0,10.0000,43,nan,9.8600
idle,ttlbox,SCHED_OTHER,0,10.0000,44,nan,9.7300
idle,ttlbox,SCHED_OTHER,0,10.0000,45,nan,9.7400
idle,ttlbox,SCHED_OTHER,0,10.0000,46,nan,9.9900
idle,ttlbox,SCHED_OTHER,0,10.0000,47,nan,8.2600
idle,ttlbox,SCHED_OTHER,0,10.0000,48,nan,9.6400
idle,ttlbox,SCHED_OTHER,0,10.0000,49,nan,9.4500
idle,ttlbox,SCHED_OTHER,0,20.0000,0,nan,18.4900
idle,ttlbox,SCHED_OTHER,0,20.0000,1,nan,19.1300
idle,ttlbox,SCHED_OTHER,0,20.0000,2,nan,19.2300
idle,ttlbox,SCHED_OTHER,0,20.0000,3,nan,19.8000
idle,ttlbox,SCHED_OTHER,0,20.0000,4,nan,19.4800
idle,ttlbox,SCHED_OTHER,0,20.0000,5,nan,20.3600
idle,ttlbox,SCHED_OTHER,0,20.0000,6,nan,19.2100
idle,ttlbox,SCHED_OTHER,0,20.0000,7,nan,19.0300
idle,ttlbox,SCHED_OTHER,0,20.0000,8,nan,20.4000
idle,ttlbox,SCHED_OTHER,0,20.0000,9,nan,20.1900
idle,ttlbox,SCHED_OTHER,0,20.0000,10,nan,18.8900
idle,ttlbox,SCHED_OTHER,0,20.0000,11,nan,19.3200
idle,ttlbox,SCHED_OTHER,0,20.0000,12,nan,19.4600
idle,ttlbox,SCHED_OTHER,0,20.0000,13,nan,20.3700
idle,ttlbox,SCHED_OTHER,0,20.0000,14,nan,20.1900
idle,ttlbox,SCHED_OTHER,0,20.0000,15,nan,19.8800
idle,ttlbox,SCHED_OTHER,0,20.0000,16,nan,19.8000
idle,ttlbox,SCHED_OTHER,0,20.0000,17,nan,19.8400
idle,ttlbox,SCHED_OTHER,0,20.0000,18,nan,18.6700
idle,ttlbox,SCHED_OTHER,0,20.0000,19,nan,19.4500
idle,ttlbox,SCHED_OTHER,0,20.0000,20,nan,18.7000
idle,ttlbox,SCHED_OTHER,0,20.0000,21,nan,19.5600
idle,ttlbox,SCHED_OTHER,0,20.0000,22,nan,20.5000
idle,ttlbox,SCHED_OTHER,0,20.0000,23,nan,19.3900
idle,ttlbox,SCHED_OTHER,0,20.0000,24,nan,20.0300
