condition,device,policy,priority,requested_ms,trial,host_width_ms,scope_width_ms
rt,ttlbox,SCHED_FIFO,50,10.0000,27,nan,9.3800
rt,ttlbox,SCHED_FIFO,50,10.0000,28,nan,9.7400
rt,ttlbox,SCHED_FIFO,50,10.0000,29,nan,10.1700
rt,ttlbox,SCHED_FIFO,50,10.0000,30,nan,9.7500
rt,ttlbox,SCHED_FIFO,50,10.0000,31,nan,9.5400
rt,ttlbox,SCHED_FIFO,50,10.0000,32,nan,9.7800
rt,ttlbox,SCHED_FIFO,50,10.0000,33,nan,9.7500
rt,ttlbox,SCHED_FIFO,50,10.0000,34,nan,9.8000
rt,ttlbox,SCHED_FIFO,50,10.0000,35,nan,9.1800
rt,ttlbox,SCHED_FIFO,50,10.0000,36,nan,9.6800
rt,ttlbox,SCHED_FIFO,50,10.0000,37,nan,9.0000
rt,ttlbox,SCHED_FIFO,50,10.0000,38,nan,10.2200
rt,ttlbox,SCHED_FIFO,50,10.0000,39,nan,8.2900
rt,ttlbox,SCHED_FIFO,50,10.0000,40,nan,10.0500
rt,ttlbox,SCHED_FIFO,50,10.0000,41,nan,9.3500
rt,ttlbox,SCHED_FIFO,50,10.0000,42,nan,10.0800
rt,ttlbox,SCHED_FIFO,50,10.0000,43,nan,9.9400
rt,ttlbox,SCHED_FIFO,50,10.0000,44,nan,9.8300
rt,ttlbox,SCHED_FIFO,50,10.0000,45,nan,10.1400
rt,ttlbox,SCHED_FIFO,50,10.0000,46,nan,9.3000
rt,ttlbox,SCHED_FIFO,50,10.0000,47,nan,9.3400
rt,ttlbox,SCHED_FIFO,50,10.0000,48,nan,9.6000
rt,ttlbox,SCHED_FIFO,50,10.0000,49,nan,9.6200
rt,ttlbox,SCHED_FIFO,50,20.0000,0,nan,19.7200
rt,ttlbox,SCHED_FIFO,50,20.0000,1,nan,18.6100
rt,ttlbox,SCHED_FIFO,50,20.0000,2,nan,20.1900
rt,ttlbox,SCHED_FIFO,50,20.0000,3,nan,18.6700
rt,ttlbox,SCHED_FIFO,50,20.0000,4,nan,20.1800
rt,ttlbox,SCHED_FIFO,50,20.0000,5,nan,19.3100
rt,ttlbox,SCHED_FIFO,50,20.0000,6,nan,19.8100
rt,ttlbox,SCHED_FIFO,50,20.0000,7,nan,19.4500
rt,ttlbox,SCHED_FIFO,50,20.0000,8,nan,20.1700
rt,ttlbox,SCHED_FIFO,50,20.0000,9,nan,19.1600
rt,ttlbox,SCHED_FIFO,50,20.0000,10,nan,20.4700
rt,ttlbox,SCHED_FIFO,50,20.0000,11,nan,18.8200
rt,ttlbox,SCHED_FIFO,50,20.0000,12,nan,19.5000
rt,ttlbox,SCHED_FIFO,50,20.0000,13,nan,19.4000
rt,ttlbox,SCHED_FIFO,50,20.0000,14,nan,19.1600
rt,ttlbox,SCHED_FIFO,50,20.0000,15,nan,18.5700
rt,ttlbox,SCHED_FIFO,50,20.0000,16,nan,19.1000
rt,ttlbox,SCHED_FIFO,50,20.0000,17,nan,19.7500
rt,ttlbox,SCHED_FIFO,50,20.0000,18,nan,20.3800
rt,ttlbox,SCHED_FIFO,50,20.0000,19,nan,20.2100
rt,ttlbox,SCHED_FIFO,50,20.0000,20,nan,18.9600
rt,ttlbox,SCHED_FIFO,50,20.0000,21,nan,18.9900
rt,ttlbox,SCHED_FIFO,50,20.0000,22,nan,18.7700
rt,ttlbox,SCHED_FIFO,50,20.0000,23,nan,18.6400
rt,ttlbox,SCHED_FIFO,50,20.0000,24,nan,20.1100
rt,ttlbox,SCHED_FIFO,50,20.0000,25,nan,20.2900
rt,ttlbox,SCHED_FIFO,50,20.0000,26,nan,18.8600
rt,ttlbox,SCHED_FIFO,50,20.0000,27,nan,18.9900
rt,ttlbox,SCHED_FIFO,50,20.0000,28,nan,19.2700
rt,ttlbox,SCHED_FIFO,50,20.0000,29,nan,19.8200
rt,ttlbox,SCHED_FIFO,50,20.0000,30,nan,19.2900
rt,ttlbox,SCHED_FIFO,50,20.0000,31,nan,19.1500
rt,ttlbox,SCHED_FIFO,50,20.0000,32,nan,19.6600
rt,ttlbox,SCHED_FIFO,50,20.0000,33,nan,19.4100
rt,ttlbox,SCHED_FIFO,50,20.0000,34,nan,20.0000
rt,ttlbox,SCHED_FIFO,50,20.0000,35,nan,19.5100
rt,ttlbox,SCHED_FIFO,50,20.0000,36,nan,18.6200
rt,ttlbox,SCHED_FIFO,50,20.0000,37,nan,20.4500
rt,ttlbox,SCHED_FIFO,50,20.0000,38,nan,19.6700
rt,ttlbox,SCHED_FIFO,50,20.0000,39,nan,20.0900
rt,ttlbox,SCHED_FIFO,50,20.0000,40,nan,19.2300
rt,ttlbox,SCHED_FIFO,50,20.0000,41,nan,20.1100
rt,ttlbox,SCHED_FIFO,50,20.0000,42,nan,19.6600
rt,ttlbox,SCHED_FIFO,50,20.0000,43,nan,20.3300
rt,ttlbox,SCHED_FIFO,50,20.0000,44,nan,19.8000
rt,ttlbox,SCHED_FIFO,50,20.0000,45,nan,19.6300
rt,ttlbox,SCHED_FIFO,50,20.0000,46,nan,20.4100
rt,ttlbox,SCHED_FIFO,50,20.0000,47,nan,19.7700
rt,ttlbox,SCHED_FIFO,50,20.0000,48,nan,19.7500
rt,ttlbox,SCHED_FIFO,50,20.0000,49,nan,19.4400
rt,ttlbox,SCHED_FIFO,50,50.0000,0,nan,50.1200
rt,ttlbox,SCHED_FIFO,50,50.0000,1,nan,50.0000
rt,ttlbox,SCHED_FIFO,50,50.0000,2,nan,50.1800
rt,ttlbox,SCHED_FIFO,50,50.0000,3,nan,49.2500
rt,ttlbox,SCHED_FIFO,50,50.0000,4,nan,49.5500
rt,ttlbox,SCHED_FIFO,50,50.0000,5,nan,49.8800
rt,ttlbox,SCHED_FIFO,50,50.0000,6,nan,48.6400
rt,ttlbox,SCHED_FIFO,50,50.0000,7,nan,49.8500
rt,ttlbox,SCHED_FIFO,50,50.0000,8,nan,50.1500
rt,ttlbox,SCHED_FIFO,50,50.0000,9,nan,50.0600
rt,ttlbox,SCHED_FIFO,50,50.0000,10,nan,48.7400
rt,ttlbox,SCHED_FIFO,50,50.0000,11,nan,49.8200
rt,ttlbox,SCHED_FIFO,50,50.0000,12,nan,49.9700
rt,ttlbox,SCHED_FIFO,50,50.0000,13,nan,48.3900
