condition,requested_ms,trial,host_width_ms,scope_width_ms
idle,20.0000,39,20.0219,19.9900
idle,20.0000,40,20.0291,20.0000
idle,20.0000,41,20.0354,19.9700
idle,20.0000,42,20.0220,19.9900
idle,20.0000,43,20.0219,19.9900
idle,20.0000,44,20.0332,19.9800
idle,20.0000,45,20.0235,19.9800
idle,20.0000,46,20.0427,19.9900
idle,20.0000,47,20.0314,20.0000
idle,20.0000,48,20.0265,20.0000
idle,20.0000,49,20.0218,19.9900
idle,50.0000,0,50.0406,50.0000
idle,50.0000,1,50.0237,49.9700
idle,50.0000,2,50.0621,50.0100
idle,50.0000,3,50.0233,49.9800
idle,50.0000,4,50.0252,49.9800
idle,50.0000,5,50.0470,50.0100
idle,50.0000,6,50.0251,49.9900
idle,50.0000,7,50.0369,49.9800
idle,50.0000,8,50.0371,49.9800
idle,50.0000,9,50.0236,49.9800
idle,50.0000,10,50.0256,49.9900
idle,50.0000,11,50.0243,49.9800
idle,50.0000,12,50.0238,49.9800
idle,50.0000,13,50.0243,49.9900
idle,50.0000,14,50.0241,49.9800
idle,50.0000,15,50.0068,49.9800
idle,50.0000,16,50.0247,49.9900
idle,50.0000,17,50.0257,49.9800
idle,50.0000,18,50.0393,50.0000
idle,50.0000,19,50.0381,49.9800
idle,50.0000,20,50.0323,49.9800
idle,50.0000,21,50.0287,50.0000
idle,50.0000,22,50.0235,49.9800
idle,50.0000,23,50.0231,49.9800
idle,50.0000,24,50.0494,50.0100
idle,50.0000,25,50.0268,49.9900
idle,50.0000,26,50.0243,49.9800
idle,50.0000,27,50.0239,49.9800
idle,50.0000,28,50.0232,50.0000
idle,50.0000,29,50.0257,49.9800
idle,50.0000,30,50.0229,49.9800
idle,50.0000,31,50.0295,49.9700
idle,50.0000,32,50.0432,50.0000
idle,50.0000,33,50.0231,49.9800
idle,50.0000,34,50.0231,50.0000
idle,50.0000,35,50.0259,49.9700
idle,50.0000,36,50.0232,49.9900
idle,50.0000,37,50.0233,50.0000
idle,50.0000,38,50.0247,49.9800
idle,50.0000,39,50.0293,49.9900
idle,50.0000,40,50.0085,49.8900
idle,50.0000,41,50.0487,49.9800
idle,50.0000,42,50.0232,49.9900
idle,50.0000,43,50.0319,49.9900
idle,50.0000,44,50.0247,49.9800
idle,50.0000,45,50.0217,49.9900
idle,50.0000,46,50.0321,49.9700
idle,50.0000,47,50.0285,49.9800
idle,50.0000,48,50.0233,49.9900
idle,50.0000,49,50.0305,49.9900
