latency_timer_ms,trial,roundtrip_ms,polls
1,0,0.9902,1
1,1,0.9387,1
1,2,0.9561,1
1,3,0.9435,1
1,4,0.9860,1
1,5,0.8944,1
1,6,0.9536,1
1,7,0.9070,1
1,8,1.0523,1
1,9,0.9708,1
1,10,0.9585,1
1,11,1.0076,1
1,12,0.8878,1
1,13,1.0294,1
1,14,1.0277,1
1,15,1.0040,1
1,16,0.9946,1
1,17,1.0026,1
1,18,0.9986,1
1,19,0.9856,1
1,20,0.9622,1
1,21,0.9965,1
1,22,1.1139,1
1,23,1.0235,1
1,24,1.0099,1
1,25,1.0428,1
1,26,0.7933,1
1,27,0.9788,1
1,28,1.0090,1
1,29,0.9962,1
1,30,1.0000,1
1,31,0.9994,1
1,32,0.9985,1
1,33,1.0141,1
1,34,0.9572,1
1,35,0.9620,1
1,36,1.0180,1
1,37,0.9375,1
1,38,0.8980,1
1,39,1.0159,1
1,40,0.9823,1
1,41,0.8846,1
1,42,0.9271,1
1,43,0.9923,1
1,44,0.9585,1
1,45,0.9988,1
1,46,0.9365,1
1,47,1.0493,1
1,48,1.0018,1
1,49,1.0351,1
1,50,1.0118,1
1,51,0.9418,1
1,52,0.9921,1
1,53,1.0166,1
1,54,1.0223,1
1,55,0.9948,1
1,56,1.0053,1
1,57,0.8571,1
1,58,0.9705,1
1,59,1.0253,1
1,60,1.0094,1
1,61,1.1324,1
1,62,1.0339,1
1,63,0.9564,1
1,64,0.9205,1
1,65,1.0228,1
1,66,0.8879,1
1,67,1.0324,1
1,68,0.9316,1
1,69,1.0037,1
1,70,1.0087,1
1,71,1.0105,1
1,72,1.0463,1
1,73,0.9439,1
1,74,1.0349,1
1,75,0.9920,1
1,76,1.0476,1
1,77,1.0000,1
1,78,1.0946,1
1,79,1.0163,1
1,80,0.9664,1
1,81,0.9244,1
1,82,0.9770,1
1,83,0.9661,1
1,84,1.0681,1
1,85,1.0023,1
1,86,0.8735,1
1,87,0.9957,1
1,88,0.9970,1
1,89,0.9606,1
1,90,0.9229,1
1,91,0.9981,1
1,92,0.9620,1
1,93,1.0111,1
1,94,0.9463,1
1,95,1.0234,1
1,96,1.0371,1
1,97,0.9690,1
1,98,0.9944,1
1,99,1.0777,1
1,100,0.9591,1
1,101,1.0419,1
1,102,0.9693,1
1,103,1.0186,1
1,104,0.9720,1
1,105,0.9544,1
1,106,1.0751,1
1,107,1.0681,1
1,108,0.9635,1
1,109,1.0300,1
1,110,1.0438,1
1,111,1.0240,1
1,112,1.0063,1
1,113,1.0140,1
1,114,0.9869,1
1,115,1.0162,1
1,116,1.0532,1
1,117,0.9862,1
1,118,1.0625,1
1,119,0.9729,1
1,120,1.0170,1
1,121,1.0475,1
1,122,0.9614,1
1,123,1.0002,1
1,124,1.0022,1
1,125,0.9900,1
1,126,0.9742,1
1,127,0.9750,1
1,128,1.0241,1
1,129,0.9983,1
1,130,1.0009,1
1,131,0.9815,1
1,132,0.9982,1
1,133,1.0251,1
1,134,0.9846,1
1,135,1.0078,1
1,136,0.9503,1
1,137,1.0002,1
1,138,0.9455,1
1,139,0.9587,1
1,140,0.9918,1
1,141,0.9819,1
1,142,1.0107,1
1,143,0.9842,1
1,144,1.0027,1
1,145,1.0605,1
1,146,1.0404,1
1,147,1.0516,1
1,148,0.8638,1
1,149,0.9936,1
1,150,1.0010,1
1,151,1.1204,1
1,152,1.0730,1
1,153,1.0252,1
1,154,1.0249,1
1,155,0.9814,1
1,156,0.9952,1
1,157,1.0053,1
1,158,0.9272,1
1,159,1.1335,1
1,160,1.0287,1
1,161,1.0197,1
1,162,0.9953,1
1,163,0.9783,1
1,164,0.9835,1
1,165,0.9437,1
1,166,1.0047,1
1,167,0.9368,1
1,168,1.0177,1
1,169,0.8974,1
1,170,1.0037,1
1,171,0.9978,1
1,172,1.0397,1
1,173,1.0065,1
1,174,0.9893,1
1,175,0.9689,1
1,176,0.8873,1
1,177,0.9895,1
1,178,0.9631,1
1,179,0.9715,1
1,180,1.0044,1
1,181,0.9907,1
1,182,1.0738,1
1,183,1.0517,1
1,184,0.9908,1
1,185,1.0215,1
1,186,1.0039,1
1,187,0.9825,1
1,188,0.9126,1
1,189,0.9347,1
1,190,0.9741,1
1,191,0.9826,1
1,192,0.9846,1
1,193,0.9817,1
1,194,0.9615,1
1,195,0.9232,1
1,196,0.9932,1
1,197,0.9810,1
1,198,0.9904,1
1,199,1.0240,1
