condition,requested_ms,trial,host_width_ms,scope_width_ms
load,20.0000,46,20.0550,19.9800
load,20.0000,47,20.0783,19.9700
load,20.0000,48,20.0395,19.9700
load,20.0000,49,20.0578,19.9800
load,50.0000,0,50.0779,50.0100
load,50.0000,1,50.0578,49.9800
load,50.0000,2,50.0788,49.9900
load,50.0000,3,50.0767,49.9800
load,50.0000,4,50.0762,49.9200
load,50.0000,5,50.0775,49.9900
load,50.0000,6,50.0751,49.9900
load,50.0000,7,52.6033,52.5000
load,50.0000,8,50.0772,49.9900
load,50.0000,9,50.0723,49.9900
load,50.0000,10,50.0812,49.9900
load,50.0000,11,50.0859,49.9900
load,50.0000,12,50.0701,49.9700
load,50.0000,13,50.0911,49.9900
load,50.0000,14,50.0675,49.9600
load,50.0000,15,50.0705,50.0000
load,50.0000,16,51.7321,51.6500
load,50.0000,17,50.0733,49.9800
load,50.0000,18,50.0780,50.0100
load,50.0000,19,50.0802,49.9900
load,50.0000,20,50.0725,49.9800
load,50.0000,21,52.1491,52.0700
load,50.0000,22,53.1012,49.9900
load,50.0000,23,50.0691,49.9900
load,50.0000,24,50.0932,49.9900
load,50.0000,25,50.1155,50.0100
load,50.0000,26,50.0827,49.9800
load,50.0000,27,50.0866,50.0000
load,50.0000,28,50.0783,50.0000
load,50.0000,29,50.0756,49.9800
load,50.0000,30,50.8435,50.0300
load,50.0000,31,50.0733,50.0000
load,50.0000,32,50.0796,49.9900
load,50.0000,33,50.1134,50.0300
load,50.0000,34,50.0760,49.9800
load,50.0000,35,50.0849,49.9900
load,50.0000,36,50.1008,50.0000
load,50.0000,37,50.0612,49.9800
load,50.0000,38,50.0653,49.9700
load,50.0000,39,50.0914,49.9900
load,50.0000,40,50.0735,49.9800
load,50.0000,41,50.0760,49.9900
load,50.0000,42,50.0906,50.0100
load,50.0000,43,50.0777,50.0000
load,50.0000,44,50.0727,49.9700
load,50.0000,45,50.8001,50.7000
load,50.0000,46,50.0673,49.9900
load,50.0000,47,50.0587,49.9900
load,50.0000,48,50.0736,50.0000
load,50.0000,49,50.0691,49.9900
