condition,policy,priority,arm,delta_us
idle,SCHED_OTHER,0,dlp-first,36.0301
idle,SCHED_OTHER,0,dlp-first,35.8234
idle,SCHED_OTHER,0,dlp-first,36.2194
idle,SCHED_OTHER,0,dlp-first,38.5842
idle,SCHED_OTHER,0,dlp-first,34.3452
idle,SCHED_OTHER,0,dlp-first,38.1014
idle,SCHED_OTHER,0,dlp-first,30.6287
idle,SCHED_OTHER,0,dlp-first,24.4388
idle,SCHED_OTHER,0,dlp-first,40.1801
idle,SCHED_OTHER,0,dlp-first,48.8801
idle,SCHED_OTHER,0,dlp-first,48.3764
idle,SCHED_OTHER,0,dlp-first,38.0159
idle,SCHED_OTHER,0,dlp-first,53.0304
idle,SCHED_OTHER,0,dlp-first,110.5227
idle,SCHED_OTHER,0,dlp-first,48.2105
idle,SCHED_OTHER,0,dlp-first,33.5818
idle,SCHED_OTHER,0,dlp-first,48.2504
idle,SCHED_OTHER,0,dlp-first,63.7053
idle,SCHED_OTHER,0,dlp-first,42.8286
idle,SCHED_OTHER,0,dlp-first,47.9290
idle,SCHED_OTHER,0,dlp-first,41.7580
idle,SCHED_OTHER,0,dlp-first,42.2931
idle,SCHED_OTHER,0,dlp-first,42.6999
idle,SCHED_OTHER,0,dlp-first,55.7113
idle,SCHED_OTHER,0,dlp-first,50.9067
idle,SCHED_OTHER,0,dlp-first,43.2895
idle,SCHED_OTHER,0,dlp-first,38.0805
idle,SCHED_OTHER,0,dlp-first,35.1765
idle,SCHED_OTHER,0,dlp-first,35.7638
idle,SCHED_OTHER,0,dlp-first,36.9866
idle,SCHED_OTHER,0,dlp-first,38.3976
idle,SCHED_OTHER,0,dlp-first,35.5521
idle,SCHED_OTHER,0,dlp-first,49.9050
idle,SCHED_OTHER,0,dlp-first,46.3417
idle,SCHED_OTHER,0,dlp-first,33.6044
idle,SCHED_OTHER,0,dlp-first,36.6302
idle,SCHED_OTHER,0,dlp-first,53.1121
idle,SCHED_OTHER,0,dlp-first,37.0066
idle,SCHED_OTHER,0,dlp-first,29.0707
idle,SCHED_OTHER,0,dlp-first,35.4484
idle,SCHED_OTHER,0,dlp-first,42.8100
idle,SCHED_OTHER,0,dlp-first,48.2727
idle,SCHED_OTHER,0,dlp-first,34.9218
idle,SCHED_OTHER,0,dlp-first,38.0734
idle,SCHED_OTHER,0,dlp-first,18.4080
idle,SCHED_OTHER,0,dlp-first,40.5906
idle,SCHED_OTHER,0,dlp-first,36.2594
idle,SCHED_OTHER,0,dlp-first,44.7604
idle,SCHED_OTHER,0,dlp-first,37.6700
idle,SCHED_OTHER,0,dlp-first,50.7528
idle,SCHED_OTHER,0,dlp-first,28.3044
idle,SCHED_OTHER,0,dlp-first,53.3654
idle,SCHED_OTHER,0,dlp-first,30.2160
idle,SCHED_OTHER,0,dlp-first,33.3141
idle,SCHED_OTHER,0,dlp-first,35.4672
idle,SCHED_OTHER,0,dlp-first,37.5687
idle,SCHED_OTHER,0,dlp-first,51.6496
idle,SCHED_OTHER,0,dlp-first,31.1341
idle,SCHED_OTHER,0,dlp-first,36.9475
idle,SCHED_OTHER,0,dlp-first,36.9183
idle,SCHED_OTHER,0,dlp-first,35.8612
idle,SCHED_OTHER,0,dlp-first,33.0903
idle,SCHED_OTHER,0,dlp-first,31.9013
idle,SCHED_OTHER,0,dlp-first,42.2439
idle,SCHED_OTHER,0,dlp-first,42.7742
idle,SCHED_OTHER,0,dlp-first,36.9069
idle,SCHED_OTHER,0,dlp-first,34.3119
idle,SCHED_OTHER,0,dlp-first,45.4610
idle,SCHED_OTHER,0,dlp-first,29.3213
idle,SCHED_OTHER,0,dlp-first,33.7024
idle,SCHED_OTHER,0,dlp-first,50.1861
idle,SCHED_OTHER,0,dlp-first,31.0779
idle,SCHED_OTHER,0,dlp-first,21.9480
idle,SCHED_OTHER,0,dlp-first,32.2243
idle,SCHED_OTHER,0,dlp-first,44.1293
idle,SCHED_OTHER,0,dlp-first,35.8081
idle,SCHED_OTHER,0,dlp-first,47.8921
idle,SCHED_OTHER,0,dlp-first,30.8369
idle,SCHED_OTHER,0,dlp-first,30.2615
idle,SCHED_OTHER,0,dlp-first,44.3161
idle,SCHED_OTHER,0,dlp-first,39.9125
idle,SCHED_OTHER,0,dlp-first,34.2209
idle,SCHED_OTHER,0,dlp-first,36.5256
idle,SCHED_OTHER,0,dlp-first,30.1627
idle,SCHED_OTHER,0,dlp-first,43.2728
idle,SCHED_OTHER,0,dlp-first,35.6722
idle,SCHED_OTHER,0,dlp-first,36.0980
idle,SCHED_OTHER,0,dlp-first,31.0139
idle,SCHED_OTHER,0,dlp-first,32.3174
idle,SCHED_OTHER,0,dlp-first,33.4686
idle,SCHED_OTHER,0,dlp-first,48.9345
idle,SCHED_OTHER,0,dlp-first,38.8418
idle,SCHED_OTHER,0,dlp-first,44.6781
idle,SCHED_OTHER,0,dlp-first,32.4680
idle,SCHED_OTHER,0,dlp-first,43.7984
idle,SCHED_OTHER,0,dlp-first,55.7652
idle,SCHED_OTHER,0,dlp-first,32.6897
idle,SCHED_OTHER,0,dlp-first,41.5837
idle,SCHED_OTHER,0,dlp-first,39.7793
idle,SCHED_OTHER,0,dlp-first,55.0019
idle,SCHED_OTHER,0,dlp-first,27.9410
idle,SCHED_OTHER,0,dlp-first,41.1150
idle,SCHED_OTHER,0,dlp-first,23.6388
idle,SCHED_OTHER,0,dlp-first,39.0578
idle,SCHED_OTHER,0,dlp-first,20.7448
idle,SCHED_OTHER,0,dlp-first,35.9592
idle,SCHED_OTHER,0,dlp-first,38.8814
idle,SCHED_OTHER,0,dlp-first,27.7350
idle,SCHED_OTHER,0,dlp-first,44.6110
idle,SCHED_OTHER,0,dlp-first,38.1044
idle,SCHED_OTHER,0,dlp-first,47.8928
idle,SCHED_OTHER,0,dlp-first,35.0207
idle,SCHED_OTHER,0,dlp-first,39.8225
idle,SCHED_OTHER,0,dlp-first,40.1796
idle,SCHED_OTHER,0,dlp-first,39.1686
idle,SCHED_OTHER,0,dlp-first,54.2336
idle,SCHED_OTHER,0,dlp-first,67.0574
idle,SCHED_OTHER,0,dlp-first,40.2344
idle,SCHED_OTHER,0,dlp-first,43.4810
idle,SCHED_OTHER,0,dlp-first,39.9102
idle,SCHED_OTHER,0,dlp-first,35.1678
idle,SCHED_OTHER,0,dlp-first,39.1430
idle,SCHED_OTHER,0,dlp-first,39.2641
idle,SCHED_OTHER,0,dlp-first,36.9496
idle,SCHED_OTHER,0,dlp-first,38.4981
idle,SCHED_OTHER,0,dlp-first,53.2307
idle,SCHED_OTHER,0,dlp-first,36.6567
idle,SCHED_OTHER,0,dlp-first,51.0453
idle,SCHED_OTHER,0,dlp-first,20.5901
idle,SCHED_OTHER,0,dlp-first,36.9056
idle,SCHED_OTHER,0,dlp-first,47.4449
idle,SCHED_OTHER,0,dlp-first,33.9259
idle,SCHED_OTHER,0,dlp-first,44.8006
