condition,device,policy,priority,requested_ms,trial,host_width_ms,scope_width_ms
load,ttlbox,SCHED_OTHER,0,10.0000,30,nan,9.2900
load,ttlbox,SCHED_OTHER,0,10.0000,31,nan,8.7700
load,ttlbox,SCHED_OTHER,0,10.0000,32,nan,10.2200
load,ttlbox,SCHED_OTHER,0,10.0000,33,nan,9.3700
load,ttlbox,SCHED_OTHER,0,10.0000,34,nan,9.0800
load,ttlbox,SCHED_OTHER,0,10.0000,35,nan,9.8600
load,ttlbox,SCHED_OTHER,0,10.0000,36,nan,8.7800
load,ttlbox,SCHED_OTHER,0,10.0000,37,nan,9.5400
load,ttlbox,SCHED_OTHER,0,10.0000,38,nan,9.4100
load,ttlbox,SCHED_OTHER,0,10.0000,39,nan,9.9800
load,ttlbox,SCHED_OTHER,0,10.0000,40,nan,10.0400
load,ttlbox,SCHED_OTHER,0,10.0000,41,nan,10.0200
load,ttlbox,SCHED_OTHER,0,10.0000,42,nan,9.6700
load,ttlbox,SCHED_OTHER,0,10.0000,43,nan,9.6200
load,ttlbox,SCHED_OTHER,0,10.0000,44,nan,9.9500
load,ttlbox,SCHED_OTHER,0,10.0000,45,nan,9.7900
load,ttlbox,SCHED_OTHER,0,10.0000,46,nan,9.9300
load,ttlbox,SCHED_OTHER,0,10.0000,47,nan,10.0600
load,ttlbox,SCHED_OTHER,0,10.0000,48,nan,9.4900
load,ttlbox,SCHED_OTHER,0,10.0000,49,nan,9.7300
load,ttlbox,SCHED_OTHER,0,20.0000,0,nan,18.7400
load,ttlbox,SCHED_OTHER,0,20.0000,1,nan,18.7400
load,ttlbox,SCHED_OTHER,0,20.0000,2,nan,19.7900
load,ttlbox,SCHED_OTHER,0,20.0000,3,nan,18.5000
load,ttlbox,SCHED_OTHER,0,20.0000,4,nan,18.8000
load,ttlbox,SCHED_OTHER,0,20.0000,5,nan,18.5800
load,ttlbox,SCHED_OTHER,0,20.0000,6,nan,19.2600
load,ttlbox,SCHED_OTHER,0,20.0000,7,nan,20.1300
load,ttlbox,SCHED_OTHER,0,20.0000,8,nan,19.2100
load,ttlbox,SCHED_OTHER,0,20.0000,9,nan,19.9700
load,ttlbox,SCHED_OTHER,0,20.0000,10,nan,19.1800
load,ttlbox,SCHED_OTHER,0,20.0000,11,nan,20.0300
load,ttlbox,SCHED_OTHER,0,20.0000,12,nan,18.5500
load,ttlbox,SCHED_OTHER,0,20.0000,13,nan,19.1000
load,ttlbox,SCHED_OTHER,0,20.0000,14,nan,19.6500
load,ttlbox,SCHED_OTHER,0,20.0000,15,nan,19.7500
load,ttlbox,SCHED_OTHER,0,20.0000,16,nan,20.4600
load,ttlbox,SCHED_OTHER,0,20.0000,17,nan,19.0700
load,ttlbox,SCHED_OTHER,0,20.0000,18,nan,18.8100
load,ttlbox,SCHED_OTHER,0,20.0000,19,nan,19.7900
load,ttlbox,SCHED_OTHER,0,20.0000,20,nan,19.3200
load,ttlbox,SCHED_OTHER,0,20.0000,21,nan,18.6100
load,ttlbox,SCHED_OTHER,0,20.0000,22,nan,18.7500
load,ttlbox,SCHED_OTHER,0,20.0000,23,nan,18.7900
load,ttlbox,SCHED_OTHER,0,20.0000,24,nan,19.0200
load,ttlbox,SCHED_OTHER,0,20.0000,25,nan,19.7000
load,ttlbox,SCHED_OTHER,0,20.0000,26,nan,18.9400
load,ttlbox,SCHED_OTHER,0,20.0000,27,nan,20.4600
load,ttlbox,SCHED_OTHER,0,20.0000,28,nan,20.2600
load,ttlbox,SCHED_OTHER,0,20.0000,29,nan,18.6000
load,ttlbox,SCHED_OTHER,0,20.0000,30,nan,20.0100
load,ttlbox,SCHED_OTHER,0,20.0000,31,nan,20.2900
load,ttlbox,SCHED_OTHER,0,20.0000,32,nan,19.7200
load,ttlbox,SCHED_OTHER,0,20.0000,33,nan,18.8600
load,ttlbox,SCHED_OTHER,0,20.0000,34,nan,19.6500
load,ttlbox,SCHED_OTHER,0,20.0000,35,nan,18.9700
load,ttlbox,SCHED_OTHER,0,20.0000,36,nan,19.1500
load,ttlbox,SCHED_OTHER,0,20.0000,37,nan,18.6700
load,ttlbox,SCHED_OTHER,0,20.0000,38,nan,19.0100
load,ttlbox,SCHED_OTHER,0,20.0000,39,nan,19.6400
load,ttlbox,SCHED_OTHER,0,20.0000,40,nan,19.7200
load,ttlbox,SCHED_OTHER,0,20.0000,41,nan,19.0700
load,ttlbox,SCHED_OTHER,0,20.0000,42,nan,18.9100
load,ttlbox,SCHED_OTHER,0,20.0000,43,nan,18.5500
load,ttlbox,SCHED_OTHER,0,20.0000,44,nan,20.3200
load,ttlbox,SCHED_OTHER,0,20.0000,45,nan,19.7000
load,ttlbox,SCHED_OTHER,0,20.0000,46,nan,18.8400
load,ttlbox,SCHED_OTHER,0,20.0000,47,nan,19.6900
load,ttlbox,SCHED_OTHER,0,20.0000,48,nan,19.6400
load,ttlbox,SCHED_OTHER,0,20.0000,49,nan,19.6000
load,ttlbox,SCHED_OTHER,0,50.0000,0,nan,50.1900
load,ttlbox,SCHED_OTHER,0,50.0000,1,nan,49.9800
load,ttlbox,SCHED_OTHER,0,50.0000,2,nan,49.4400
load,ttlbox,SCHED_OTHER,0,50.0000,3,nan,49.2800
load,ttlbox,SCHED_OTHER,0,50.0000,4,nan,50.2200
load,ttlbox,SCHED_OTHER,0,50.0000,5,nan,49.5800
load,ttlbox,SCHED_OTHER,0,50.0000,6,nan,49.7700
load,ttlbox,SCHED_OTHER,0,50.0000,7,nan,50.2000
load,ttlbox,SCHED_OTHER,0,50.0000,8,nan,49.9000
load,ttlbox,SCHED_OTHER,0,50.0000,9,nan,49.2400
load,ttlbox,SCHED_OTHER,0,50.0000,10,nan,50.1200
load,ttlbox,SCHED_OTHER,0,50.0000,11,nan,49.6600
load,ttlbox,SCHED_OTHER,0,50.0000,12,nan,49.7700
load,ttlbox,SCHED_OTHER,0,50.0000,13,nan,49.8700
load,ttlbox,SCHED_OTHER,0,50.0000,14,nan,49.9800
load,ttlbox,SCHED_OTHER,0,50.0000,15,nan,48.2800
load,ttlbox,SCHED_OTHER,0,50.0000,16,nan,48.4900
load,ttlbox,SCHED_OTHER,0,50.0000,17,nan,49.3000
load,ttlbox,SCHED_OTHER,0,50.0000,18,nan,49.9200
load,ttlbox,SCHED_OTHER,0,50.0000,19,nan,50.1200
load,ttlbox,SCHED_OTHER,0,50.0000,20,nan,50.1200
load,ttlbox,SCHED_OTHER,0,50.0000,21,nan,50.2000
