arm,policy,priority,trial,first_ch,second_ch,delta_us
dlp-first,SCHED_OTHER,0,5,2,1,55.0100
dlp-first,SCHED_OTHER,0,6,2,1,46.7700
dlp-first,SCHED_OTHER,0,7,2,1,52.8900
dlp-first,SCHED_OTHER,0,8,2,1,50.2800
dlp-first,SCHED_OTHER,0,9,2,1,53.9800
dlp-first,SCHED_OTHER,0,10,2,1,85.5600
dlp-first,SCHED_OTHER,0,11,2,1,57.0000
dlp-first,SCHED_OTHER,0,12,2,1,43.9400
dlp-first,SCHED_OTHER,0,13,2,1,54.8600
dlp-first,SCHED_OTHER,0,14,2,1,127.2700
dlp-first,SCHED_OTHER,0,15,2,1,61.0800
dlp-first,SCHED_OTHER,0,16,2,1,46.4500
dlp-first,SCHED_OTHER,0,17,2,1,53.4400
dlp-first,SCHED_OTHER,0,18,2,1,47.5100
dlp-first,SCHED_OTHER,0,19,2,1,43.9500
dlp-first,SCHED_OTHER,0,20,2,1,67.2600
dlp-first,SCHED_OTHER,0,21,2,1,50.4000
dlp-first,SCHED_OTHER,0,22,2,1,49.1400
dlp-first,SCHED_OTHER,0,23,2,1,57.1800
dlp-first,SCHED_OTHER,0,24,2,1,12.0400
dlp-first,SCHED_OTHER,0,25,2,1,101.4900
dlp-first,SCHED_OTHER,0,26,2,1,40.9400
dlp-first,SCHED_OTHER,0,27,2,1,43.5400
dlp-first,SCHED_OTHER,0,28,2,1,53.0900
dlp-first,SCHED_OTHER,0,29,2,1,22.8000
dlp-first,SCHED_OTHER,0,30,2,1,58.4000
dlp-first,SCHED_OTHER,0,31,2,1,51.6800
dlp-first,SCHED_OTHER,0,32,2,1,40.7400
dlp-first,SCHED_OTHER,0,33,2,1,31.0900
dlp-first,SCHED_OTHER,0,34,2,1,56.8600
dlp-first,SCHED_OTHER,0,35,2,1,27.9700
dlp-first,SCHED_OTHER,0,36,2,1,54.5300
dlp-first,SCHED_OTHER,0,37,2,1,55.8500
dlp-first,SCHED_OTHER,0,38,2,1,19.7500
dlp-first,SCHED_OTHER,0,39,2,1,57.0400
dlp-first,SCHED_OTHER,0,40,2,1,67.7000
dlp-first,SCHED_OTHER,0,41,2,1,49.5000
dlp-first,SCHED_OTHER,0,42,2,1,49.4700
dlp-first,SCHED_OTHER,0,43,2,1,53.5600
dlp-first,SCHED_OTHER,0,44,2,1,24.1500
dlp-first,SCHED_OTHER,0,45,2,1,57.8800
dlp-first,SCHED_OTHER,0,46,2,1,48.9400
dlp-first,SCHED_OTHER,0,47,2,1,53.0000
dlp-first,SCHED_OTHER,0,48,2,1,61.3700
dlp-first,SCHED_OTHER,0,49,2,1,53.2400
dlp-first,SCHED_OTHER,0,50,2,1,55.4700
dlp-first,SCHED_OTHER,0,51,2,1,55.3200
dlp-first,SCHED_OTHER,0,52,2,1,59.9800
dlp-first,SCHED_OTHER,0,53,2,1,51.5900
dlp-first,SCHED_OTHER,0,54,2,1,40.8700
dlp-first,SCHED_OTHER,0,55,2,1,52.9200
dlp-first,SCHED_OTHER,0,56,2,1,52.3800
dlp-first,SCHED_OTHER,0,57,2,1,45.9200
dlp-first,SCHED_OTHER,0,58,2,1,51.1100
dlp-first,SCHED_OTHER,0,59,2,1,61.0900
dlp-first,SCHED_OTHER,0,60,2,1,43.9400
dlp-first,SCHED_OTHER,0,61,2,1,32.2600
dlp-first,SCHED_OTHER,0,62,2,1,50.4000
dlp-first,SCHED_OTHER,0,63,2,1,34.0900
dlp-first,SCHED_OTHER,0,64,2,1,32.9900
dlp-first,SCHED_OTHER,0,65,2,1,43.8300
dlp-first,SCHED_OTHER,0,66,2,1,56.0600
dlp-first,SCHED_OTHER,0,67,2,1,43.4700
dlp-first,SCHED_OTHER,0,68,2,1,51.1500
dlp-first,SCHED_OTHER,0,69,2,1,61.1000
dlp-first,SCHED_OTHER,0,70,2,1,44.7300
dlp-first,SCHED_OTHER,0,71,2,1,61.4700
dlp-first,SCHED_OTHER,0,72,2,1,47.3400
dlp-first,SCHED_OTHER,0,73,2,1,46.2700
