condition,policy,priority,arm,delta_us
rt,SCHED_FIFO,50,dlp-first,51.3822
rt,SCHED_FIFO,50,dlp-first,50.3131
rt,SCHED_FIFO,50,dlp-first,50.4249
rt,SCHED_FIFO,50,dlp-first,49.6079
rt,SCHED_FIFO,50,dlp-first,54.0975
rt,SCHED_FIFO,50,dlp-first,53.5517
rt,SCHED_FIFO,50,dlp-first,111.8534
rt,SCHED_FIFO,50,dlp-first,48.5225
rt,SCHED_FIFO,50,dlp-first,47.5272
rt,SCHED_FIFO,50,dlp-first,51.2743
rt,SCHED_FIFO,50,dlp-first,57.0914
rt,SCHED_FIFO,50,dlp-first,51.1695
rt,SCHED_FIFO,50,dlp-first,42.7490
rt,SCHED_FIFO,50,dlp-first,37.8692
rt,SCHED_FIFO,50,dlp-first,46.1279
rt,SCHED_FIFO,50,dlp-first,44.7166
rt,SCHED_FIFO,50,dlp-first,53.7011
rt,SCHED_FIFO,50,dlp-first,15.4885
rt,SCHED_FIFO,50,dlp-first,47.2157
rt,SCHED_FIFO,50,dlp-first,51.9083
rt,SCHED_FIFO,50,dlp-first,50.4747
rt,SCHED_FIFO,50,dlp-first,50.3878
rt,SCHED_FIFO,50,dlp-first,41.1355
rt,SCHED_FIFO,50,dlp-first,47.0614
rt,SCHED_FIFO,50,dlp-first,50.1375
rt,SCHED_FIFO,50,dlp-first,51.4633
rt,SCHED_FIFO,50,dlp-first,52.6176
rt,SCHED_FIFO,50,dlp-first,58.9492
rt,SCHED_FIFO,50,dlp-first,53.7366
rt,SCHED_FIFO,50,dlp-first,44.5150
rt,SCHED_FIFO,50,dlp-first,43.7014
rt,SCHED_FIFO,50,dlp-first,54.3771
rt,SCHED_FIFO,50,dlp-first,49.2232
rt,SCHED_FIFO,50,dlp-first,43.5296
rt,SCHED_FIFO,50,dlp-first,46.5212
rt,SCHED_FIFO,50,dlp-first,41.8620
rt,SCHED_FIFO,50,dlp-first,41.0082
rt,SCHED_FIFO,50,dlp-first,47.9508
